"Date","Time","Station","DOC","TDN","SampleType","DateTime","Distance_from_peatland","WS"
"6/29/21","11:30",NA,3.44,0.1274,"synoptic",2021-06-29 11:30:00,NA,NA
"6/29/21","14:00",NA,4.093,0.1337,"synoptic",2021-06-29 14:00:00,NA,NA
"6/30/21","10:00",NA,7.943,0.2281,"synoptic",2021-06-30 10:00:00,NA,NA
"6/30/21","12:15",NA,8.737,0.2291,"synoptic",2021-06-30 12:15:00,NA,NA
"7/5/21","12:55",NA,3.866,0.1229,"synoptic",2021-07-05 13:00:00,NA,NA
"7/5/21","14:15",NA,3.018,0.07629,"synoptic",2021-07-05 14:15:00,NA,NA
"7/5/21","13:15",NA,3.226,0.125,"synoptic",2021-07-05 13:15:00,NA,NA
"7/5/21","14:00",NA,3.059,0.09726,"synoptic",2021-07-05 14:00:00,NA,NA
"7/5/21","14:35",NA,2.809,0.101,"synoptic",2021-07-05 14:30:00,NA,NA
"7/6/21","12:15",NA,3.958,0.09001,"synoptic",2021-07-06 12:15:00,NA,NA
"7/6/21","10:35",NA,2.405,0.1359,"synoptic",2021-07-06 10:30:00,NA,NA
"7/6/21","12:00",NA,3.413,0.1029,"synoptic",2021-07-06 12:00:00,NA,NA
"7/7/21","10:30",NA,1.507,0.0712,"synoptic",2021-07-07 10:30:00,NA,NA
"7/7/21","11:35",NA,1.642,0.07594,"synoptic",2021-07-07 11:30:00,NA,NA
"7/7/21","14:00",NA,1.569,0.08167,"synoptic",2021-07-07 14:00:00,NA,NA
"7/7/21","10:15",NA,1.719,0.0869,"synoptic",2021-07-07 10:15:00,NA,NA
"7/7/21","14:00",NA,1.505,0.06122,"synoptic",2021-07-07 14:00:00,NA,NA
"7/9/21","13:00",NA,2.824,0.1087,"synoptic",2021-07-09 13:00:00,NA,NA
"7/9/21","13:00",NA,2.753,0.1637,"synoptic",2021-07-09 13:00:00,NA,NA
"6/18/21","11:15","Stn01",2.393,0.1063,"synoptic",2021-06-18 11:15:00,5,"Gavilan"
"6/18/21","13:38",NA,2.791,0.1907,"synoptic",2021-06-18 13:45:00,NA,NA
"6/18/21","15:55","Stn04",2.643,0.1286,"synoptic",2021-06-18 16:00:00,454,"Gavilan"
