"DateTime","WLPres_kpa","WLTemp_c","Station"
2021-06-11 13:00:00,66.877,10.553,"Stn05"
2021-06-11 13:15:00,66.82,7.782,"Stn05"
2021-06-11 13:30:00,66.801,7.582,"Stn05"
2021-06-11 13:45:00,66.782,7.682,"Stn05"
2021-06-11 14:00:00,66.763,7.782,"Stn05"
2021-06-11 14:15:00,66.74,7.782,"Stn05"
2021-06-11 14:30:00,66.732,7.882,"Stn05"
2021-06-11 14:45:00,66.709,8.182,"Stn05"
2021-06-11 15:00:00,66.709,8.182,"Stn05"
2021-06-11 15:15:00,66.69,8.282,"Stn05"
2021-06-11 15:30:00,66.682,8.382,"Stn05"
2021-06-11 15:45:00,66.701,8.581,"Stn05"
2021-06-11 16:00:00,66.693,8.68,"Stn05"
2021-06-11 16:15:00,66.701,8.581,"Stn05"
2021-06-11 16:30:00,66.705,8.382,"Stn05"
2021-06-11 16:45:00,66.697,8.182,"Stn05"
2021-06-11 17:00:00,66.705,8.082,"Stn05"
2021-06-11 17:15:00,66.705,8.082,"Stn05"
2021-06-11 17:30:00,66.717,8.082,"Stn05"
2021-06-11 17:45:00,66.69,7.983,"Stn05"
2021-06-11 18:00:00,66.713,7.983,"Stn05"
2021-06-11 18:15:00,66.701,7.983,"Stn05"
2021-06-11 18:30:00,66.736,7.983,"Stn05"
2021-06-11 18:45:00,66.755,7.882,"Stn05"
2021-06-11 19:00:00,66.778,7.882,"Stn05"
2021-06-11 19:15:00,66.786,7.782,"Stn05"
2021-06-11 19:30:00,66.786,7.782,"Stn05"
2021-06-11 19:45:00,66.809,7.782,"Stn05"
2021-06-11 20:00:00,66.82,7.782,"Stn05"
2021-06-11 20:15:00,66.809,7.782,"Stn05"
2021-06-11 20:30:00,66.828,7.682,"Stn05"
2021-06-11 20:45:00,66.839,7.682,"Stn05"
2021-06-11 21:00:00,66.847,7.582,"Stn05"
2021-06-11 21:15:00,66.847,7.582,"Stn05"
2021-06-11 21:30:00,66.847,7.582,"Stn05"
2021-06-11 21:45:00,66.843,7.481,"Stn05"
2021-06-11 22:00:00,66.866,7.481,"Stn05"
2021-06-11 22:15:00,66.878,7.481,"Stn05"
2021-06-11 22:30:00,66.874,7.381,"Stn05"
2021-06-11 22:45:00,66.885,7.381,"Stn05"
2021-06-11 23:00:00,66.862,7.381,"Stn05"
2021-06-11 23:15:00,66.87,7.28,"Stn05"
2021-06-11 23:30:00,66.87,7.28,"Stn05"
2021-06-11 23:45:00,66.858,7.28,"Stn05"
2021-06-12,66.843,7.179,"Stn05"
2021-06-12 00:15:00,66.831,7.179,"Stn05"
2021-06-12 00:30:00,66.828,7.079,"Stn05"
2021-06-12 00:45:00,66.793,7.079,"Stn05"
2021-06-12 01:00:00,66.805,7.079,"Stn05"
2021-06-12 01:15:00,66.77,7.079,"Stn05"
2021-06-12 01:30:00,66.766,6.978,"Stn05"
2021-06-12 01:45:00,66.755,6.978,"Stn05"
2021-06-12 02:00:00,66.743,6.978,"Stn05"
2021-06-12 02:15:00,66.743,6.978,"Stn05"
2021-06-12 02:30:00,66.705,6.877,"Stn05"
2021-06-12 02:45:00,66.693,6.877,"Stn05"
2021-06-12 03:00:00,66.705,6.877,"Stn05"
2021-06-12 03:15:00,66.693,6.877,"Stn05"
2021-06-12 03:30:00,66.693,6.877,"Stn05"
2021-06-12 03:45:00,66.666,6.775,"Stn05"
2021-06-12 04:00:00,66.655,6.775,"Stn05"
2021-06-12 04:15:00,66.655,6.775,"Stn05"
2021-06-12 04:30:00,66.655,6.775,"Stn05"
2021-06-12 04:45:00,66.655,6.775,"Stn05"
2021-06-12 05:00:00,66.678,6.775,"Stn05"
2021-06-12 05:15:00,66.666,6.775,"Stn05"
2021-06-12 05:30:00,66.685,6.674,"Stn05"
