"DateTime","WLPres_kpa","WLTemp_c","Station"
2021-06-09 14:00:00,63.459,10.161,"Stn04"
2021-06-09 14:15:00,63.461,10.259,"Stn04"
2021-06-09 14:30:00,63.439,10.357,"Stn04"
2021-06-09 14:45:00,63.414,10.357,"Stn04"
2021-06-09 15:00:00,63.39,10.357,"Stn04"
2021-06-09 15:15:00,63.392,10.455,"Stn04"
2021-06-09 15:30:00,63.382,10.553,"Stn04"
2021-06-09 15:45:00,63.37,10.553,"Stn04"
2021-06-09 16:00:00,63.38,10.455,"Stn04"
2021-06-09 16:15:00,63.341,10.357,"Stn04"
2021-06-09 16:30:00,63.341,10.357,"Stn04"
2021-06-09 16:45:00,63.351,10.259,"Stn04"
2021-06-09 17:00:00,63.336,10.161,"Stn04"
2021-06-09 17:15:00,63.334,10.063,"Stn04"
2021-06-09 17:30:00,63.344,9.965,"Stn04"
2021-06-09 17:45:00,63.351,9.768,"Stn04"
2021-06-09 18:00:00,63.344,9.472,"Stn04"
2021-06-09 18:15:00,63.364,9.275,"Stn04"
2021-06-09 18:30:00,63.371,9.077,"Stn04"
2021-06-09 18:45:00,63.367,8.879,"Stn04"
2021-06-09 19:00:00,63.374,8.68,"Stn04"
2021-06-09 19:15:00,63.394,8.481,"Stn04"
2021-06-09 19:30:00,63.389,8.282,"Stn04"
2021-06-09 19:45:00,63.399,8.182,"Stn04"
2021-06-09 20:00:00,63.43,7.983,"Stn04"
2021-06-09 20:15:00,63.465,7.882,"Stn04"
2021-06-09 20:30:00,63.438,7.782,"Stn04"
2021-06-09 20:45:00,63.448,7.682,"Stn04"
2021-06-09 21:00:00,63.455,7.481,"Stn04"
2021-06-09 21:15:00,63.455,7.481,"Stn04"
2021-06-09 21:30:00,63.465,7.381,"Stn04"
2021-06-09 21:45:00,63.499,7.28,"Stn04"
2021-06-09 22:00:00,63.46,7.179,"Stn04"
2021-06-09 22:15:00,63.482,7.079,"Stn04"
2021-06-09 22:30:00,63.469,7.079,"Stn04"
2021-06-09 22:45:00,63.482,7.079,"Stn04"
2021-06-09 23:00:00,63.479,6.978,"Stn04"
2021-06-09 23:15:00,63.467,6.978,"Stn04"
2021-06-09 23:30:00,63.479,6.978,"Stn04"
2021-06-09 23:45:00,63.452,6.877,"Stn04"
2021-06-10,63.44,6.877,"Stn04"
2021-06-10 00:15:00,63.452,6.877,"Stn04"
2021-06-10 00:30:00,63.428,6.877,"Stn04"
2021-06-10 00:45:00,63.44,6.877,"Stn04"
2021-06-10 01:00:00,63.415,6.877,"Stn04"
2021-06-10 01:15:00,63.425,6.775,"Stn04"
2021-06-10 01:30:00,63.413,6.775,"Stn04"
2021-06-10 01:45:00,63.376,6.775,"Stn04"
2021-06-10 02:00:00,63.362,6.674,"Stn04"
2021-06-10 02:15:00,63.349,6.674,"Stn04"
2021-06-10 02:30:00,63.335,6.573,"Stn04"
2021-06-10 02:45:00,63.322,6.573,"Stn04"
2021-06-10 03:00:00,63.335,6.573,"Stn04"
2021-06-10 03:15:00,63.32,6.471,"Stn04"
2021-06-10 03:30:00,63.332,6.471,"Stn04"
2021-06-10 03:45:00,63.295,6.471,"Stn04"
2021-06-10 04:00:00,63.295,6.471,"Stn04"
2021-06-10 04:15:00,63.317,6.37,"Stn04"
2021-06-10 04:30:00,63.317,6.37,"Stn04"
2021-06-10 04:45:00,63.295,6.471,"Stn04"
2021-06-10 05:00:00,63.295,6.471,"Stn04"
2021-06-10 05:15:00,63.308,6.471,"Stn04"
2021-06-10 05:30:00,63.317,6.37,"Stn04"
2021-06-10 05:45:00,63.354,6.37,"Stn04"
2021-06-10 06:00:00,63.351,6.268,"Stn04"
2021-06-10 06:15:00,63.351,6.268,"Stn04"
2021-06-10 06:30:00,63.378,6.37,"Stn04"
2021-06-10 06:45:00,63.391,6.37,"Stn04"
2021-06-10 07:00:00,63.4,6.268,"Stn04"
2021-06-10 07:15:00,63.413,6.268,"Stn04"
2021-06-10 07:30:00,63.437,6.268,"Stn04"
2021-06-10 07:45:00,63.425,6.268,"Stn04"
2021-06-10 08:00:00,63.44,6.37,"Stn04"
2021-06-10 08:15:00,63.418,6.471,"Stn04"
2021-06-10 08:30:00,63.459,6.674,"Stn04"
2021-06-10 08:45:00,63.452,6.877,"Stn04"
2021-06-10 09:00:00,63.457,7.079,"Stn04"
2021-06-10 09:15:00,63.474,7.28,"Stn04"
2021-06-10 09:30:00,63.479,7.481,"Stn04"
2021-06-10 09:45:00,63.475,7.782,"Stn04"
2021-06-10 10:00:00,63.501,7.882,"Stn04"
2021-06-10 10:15:00,63.492,7.983,"Stn04"
2021-06-10 10:30:00,63.497,8.182,"Stn04"
2021-06-10 10:45:00,63.501,8.382,"Stn04"
2021-06-10 11:00:00,63.487,8.779,"Stn04"
2021-06-10 11:15:00,63.511,9.275,"Stn04"
2021-06-10 11:30:00,63.513,9.866,"Stn04"
2021-06-10 11:45:00,63.498,10.259,"Stn04"
2021-06-10 12:00:00,63.503,10.455,"Stn04"
2021-06-10 12:15:00,63.498,10.259,"Stn04"
2021-06-10 12:30:00,63.486,10.259,"Stn04"
2021-06-10 12:45:00,63.463,10.357,"Stn04"
2021-06-10 13:00:00,63.468,10.553,"Stn04"
2021-06-10 13:15:00,63.461,10.748,"Stn04"
2021-06-10 13:30:00,63.451,10.846,"Stn04"
2021-06-10 13:45:00,63.451,10.846,"Stn04"
2021-06-10 14:00:00,63.409,10.651,"Stn04"
2021-06-10 14:15:00,63.37,10.553,"Stn04"
2021-06-10 14:30:00,63.358,10.553,"Stn04"
2021-06-10 14:45:00,63.333,10.553,"Stn04"
2021-06-10 15:00:00,63.336,10.651,"Stn04"
2021-06-10 15:15:00,63.333,10.553,"Stn04"
2021-06-10 15:30:00,63.331,10.455,"Stn04"
2021-06-10 15:45:00,63.304,10.357,"Stn04"
2021-06-10 16:00:00,63.275,10.161,"Stn04"
2021-06-10 16:15:00,63.149,11.041,"Stn04"
2021-06-10 16:30:00,63.179,10.259,"Stn04"
2021-06-10 16:45:00,63.185,9.965,"Stn04"
