Serial Number:,'220234,,,,,,,,,,,
Calibration:,,,,,,,,,,,,
Location,Parameter,Serial #,Blank Reading Offset 1x,Blank Reading Offset 10x,Blank Reading Offset 100x,Time of Blank,Standard Reading,Time of Standard,Standard Value,Units,Temp Coeff.,Calibr Temp
1,Turbidity,2103302,376,193.2,71.52,6/10/2019 13:14,2246,6/10/2019 13:16,100,NTU,None,24.4
2,Chlorophyll a,2103473,400,42.8,11.4,6/10/2019 13:38,3465.2,6/10/2019 13:39,40,ug/L,None,24.8
3,Phycocyanin,2103474,364,37.2,5.84,6/10/2019 13:31,751.2,6/10/2019 13:32,260,ppb,None,24.4
5,CDOM,2103476,224,55.2,37.12,6/10/2019 15:51,11996,6/10/2019 15:52,300,ppb,None,22.7
,Depth,,10,,,7/10/2019 10:55,,,,meters,,
Channel Name,Turbidity,Chlorophyll a,Phycocyanin,CDOM,Depth,Temp,,,,,,
Units,NTU,ug/L,ppb,ppb,meters,°C,,,,,,
7/12/2019 11:48,0,2.86,1.94,32.28,0.21,8.43,,,,,,
7/12/2019 12:03,0,2.6,3.1,32.1,0.27,9.19,,,,,,
7/12/2019 12:18,0,2.76,5.15,31.86,0.27,9.65,,,,,,
7/12/2019 12:33,0,2.46,4.43,32.29,0.27,10.09,,,,,,
7/12/2019 12:48,0,2.55,1.44,32.63,0.27,10.74,,,,,,
7/12/2019 13:03,0,3.3,1.32,32.16,0.21,10.1,,,,,,
7/12/2019 13:18,0,3.24,2.24,31.19,0.27,9.99,,,,,,
7/12/2019 13:33,25.59,2.96,1.98,31.13,0.27,10.44,,,,,,
7/12/2019 13:48,76.1,2.67,1.73,32.07,0.21,11.04,,,,,,
7/12/2019 14:03,279.11,2.62,222.37,31.83,0.21,10.84,,,,,,
7/12/2019 14:18,1274.27,2.93,209.05,31.5,0.21,10.74,,,,,,
7/12/2019 14:33,472.66,3.03,598.08,32.04,0.21,10.33,,,,,,
7/12/2019 14:48,1190.56,2.58,85.7,31.55,0.21,11.16,,,,,,
7/12/2019 15:03,524.67,2.35,1.84,32.35,0.21,10.94,,,,,,
7/12/2019 15:18,2265.18,2.5,2.2,32.15,0.21,10.88,,,,,,
7/12/2019 15:33,767.23,2.79,1.2,31.38,0.21,10.74,,,,,,
