Serial Number:,'220234,,,,,,,,,,,
Calibration:,,,,,,,,,,,,
Location,Parameter,Serial #,Blank Reading Offset 1x,Blank Reading Offset 10x,Blank Reading Offset 100x,Time of Blank,Standard Reading,Time of Standard,Standard Value,Units,Temp Coeff.,Calibr Temp
1,Turbidity,2103302,376,193.2,71.52,6/10/2019 13:14,2246,6/10/2019 13:16,100,NTU,None,24.4
2,Chlorophyll a,2103473,400,42.8,11.4,6/10/2019 13:38,3465.2,6/10/2019 13:39,40,ug/L,None,24.8
3,Phycocyanin,2103474,364,37.2,5.84,6/10/2019 13:31,751.2,6/10/2019 13:32,260,ppb,None,24.4
5,CDOM,2103476,224,55.2,37.12,6/10/2019 15:51,11996,6/10/2019 15:52,300,ppb,None,22.7
,Depth,,10,,,7/10/2019 10:55,,,,meters,,
Channel Name,Turbidity,Chlorophyll a,Phycocyanin,CDOM,Depth,Temp,,,,,,
Units,NTU,ug/L,ppb,ppb,meters,°C,,,,,,
7/12/2019 16:00,0,3.01,2.35,31.17,0.14,10.01,,,,,,
7/12/2019 16:15,0,2.99,2.31,32.17,0.27,9.66,,,,,,
7/12/2019 16:30,0,2.37,1.26,32.94,0.21,9.77,,,,,,
7/12/2019 16:45,0,2.37,1.02,33.15,0.27,9.42,,,,,,
7/12/2019 17:00,0,2.82,0.83,33.19,0.27,8.48,,,,,,
7/12/2019 17:15,0,2.45,2.59,33.26,0.35,8.9,,,,,,
7/12/2019 17:30,0,2.22,1.51,33.25,0.27,8.43,,,,,,
7/12/2019 17:45,0,2.29,1.29,33.32,0.35,7.84,,,,,,
7/12/2019 18:00,0,2.39,1.45,33.17,0.35,7.03,,,,,,
7/12/2019 18:15,0,2.95,1.87,32.94,0.35,6.75,,,,,,
7/12/2019 18:30,0,2.39,1.04,33.03,0.35,6.41,,,,,,
7/12/2019 18:45,0,2.59,1.88,32.97,0.41,6.01,,,,,,
7/12/2019 19:00,0,2.4,1.97,32.94,0.41,6.2,,,,,,
7/12/2019 19:15,0,2.38,1.52,32.82,0.41,5.91,,,,,,
7/12/2019 19:30,0,2.34,1.29,33.02,0.35,5.43,,,,,,
7/12/2019 19:45,0,2.26,1.54,33.01,0.41,5.53,,,,,,
7/12/2019 20:00,0,2.2,1.15,32.88,0.35,5.37,,,,,,
7/12/2019 20:15,0,2.2,1.15,32.85,0.41,5.21,,,,,,
7/12/2019 20:30,0,2.2,1.87,32.87,0.41,5.25,,,,,,
7/12/2019 20:45,0,2.16,1.16,32.8,0.41,5.26,,,,,,
7/12/2019 21:00,0,2.2,1.98,32.87,0.35,5.11,,,,,,
7/12/2019 21:15,0,2.16,1.23,32.85,0.41,4.99,,,,,,
7/12/2019 21:30,0,2.14,1.19,32.86,0.35,4.79,,,,,,
7/12/2019 21:45,0,2.13,1.7,32.75,0.35,4.81,,,,,,
7/12/2019 22:00,0,2.27,1.72,32.79,0.41,4.92,,,,,,
7/12/2019 22:15,0,2.12,1.34,32.76,0.41,4.79,,,,,,
7/12/2019 22:30,0,2.21,1.34,32.71,0.41,4.6,,,,,,
7/12/2019 22:45,0,2.09,1.18,32.65,0.41,4.92,,,,,,
7/12/2019 23:00,0,2.09,1.47,32.56,0.41,4.89,,,,,,
7/12/2019 23:15,0,2.1,1.16,32.64,0.41,4.84,,,,,,
7/12/2019 23:30,0,2.06,1.04,32.49,0.41,4.86,,,,,,
7/12/2019 23:45,0,2.15,1.3,32.48,0.41,4.48,,,,,,
7/13/2019 0:00,0,2.17,0.54,32.35,0.41,4.77,,,,,,
7/13/2019 0:15,0,2.2,1.51,32.23,0.41,5.06,,,,,,
7/13/2019 0:30,0,2.07,1.09,32.31,0.41,5,,,,,,
7/13/2019 0:45,0,2.09,1.3,32.12,0.41,4.89,,,,,,
7/13/2019 1:00,0,2.14,1.16,32.16,0.35,4.81,,,,,,
7/13/2019 1:15,0,2.05,1.29,32.12,0.41,4.69,,,,,,
7/13/2019 1:30,0,2.03,1.34,32.15,0.41,4.67,,,,,,
7/13/2019 1:45,0,1.99,1.51,32.06,0.41,4.75,,,,,,
7/13/2019 2:00,0,2.1,0.69,32.14,0.41,4.71,,,,,,
7/13/2019 2:15,0,2.05,1.14,32.11,0.41,4.59,,,,,,
7/13/2019 2:30,0,2.02,1.37,32.11,0.35,4.58,,,,,,
7/13/2019 2:45,0,1.99,1.33,32.02,0.35,4.4,,,,,,
7/13/2019 3:00,0,2.08,1.2,31.99,0.41,4.41,,,,,,
7/13/2019 3:15,0,2.09,1.18,31.82,0.35,3.82,,,,,,
7/13/2019 3:30,0,2.01,1.18,31.82,0.41,4,,,,,,
7/13/2019 3:45,0,2.04,0.39,31.71,0.35,4.02,,,,,,
7/13/2019 4:00,0,2.12,0.78,31.79,0.41,3.89,,,,,,
7/13/2019 4:15,0,2.02,1.16,31.75,0.41,3.93,,,,,,
7/13/2019 4:30,0,1.98,0.96,31.78,0.41,3.99,,,,,,
7/13/2019 4:45,0,2.28,1.14,31.74,0.41,3.95,,,,,,
7/13/2019 5:00,0,2.03,1.37,31.64,0.41,3.65,,,,,,
7/13/2019 5:15,0,2.02,1.11,31.65,0.41,3.4,,,,,,
7/13/2019 5:30,0,2.08,1.44,31.53,0.41,3.48,,,,,,
7/13/2019 5:45,0,2.31,1.83,31.46,0.41,3.17,,,,,,
7/13/2019 6:00,0,1.97,0.84,31.54,0.41,3.45,,,,,,
7/13/2019 6:15,0,2.07,0.82,31.5,0.41,3.65,,,,,,
7/13/2019 6:30,0,1.9,0.55,31.52,0.41,3.77,,,,,,
7/13/2019 6:45,0,1.89,1.18,31.56,0.48,3.99,,,,,,
7/13/2019 7:00,0,1.97,2.01,31.37,0.35,3.94,,,,,,
7/13/2019 7:15,0,2.02,1.81,31.45,0.41,3.97,,,,,,
7/13/2019 7:30,0,2.02,1.12,31.27,0.41,4.38,,,,,,
7/13/2019 7:45,0,2.02,1.41,31.58,0.41,4.49,,,,,,
7/13/2019 8:00,0,2.01,2.24,31.63,0.41,4.42,,,,,,
7/13/2019 8:15,0,1.97,0.96,31.84,0.41,4.99,,,,,,
7/13/2019 8:30,0,2.15,1.34,31.87,0.41,5.06,,,,,,
7/13/2019 8:45,0,2.02,1.27,31.78,0.41,5.25,,,,,,
7/13/2019 9:00,0,1.99,0.54,31.94,0.41,5.26,,,,,,
7/13/2019 9:15,0,2.2,0.55,32.03,0.41,5.46,,,,,,
7/13/2019 9:30,0,2.11,2.28,32.05,0.41,5.13,,,,,,
7/13/2019 9:45,0,2,1.55,32.15,0.35,6.06,,,,,,
7/13/2019 10:00,12.76,2.09,1.04,32.09,0.35,6.05,,,,,,
7/13/2019 10:15,0,2.11,1.94,32.2,0.35,6.11,,,,,,
7/13/2019 10:30,0,2.15,1.8,32.14,0.41,6.49,,,,,,
7/13/2019 10:45,0,2.4,2.05,32.22,0.35,6.4,,,,,,
7/13/2019 11:00,0,2.13,2.05,32.22,0.41,7.19,,,,,,
7/13/2019 11:15,0,2.08,1.34,32.24,0.35,7.34,,,,,,
7/13/2019 11:30,0,2.23,1.73,32.22,0.35,7.11,,,,,,
7/13/2019 11:45,0,2.17,0.97,32.37,0.35,7.19,,,,,,
7/13/2019 12:00,0,2.17,1.5,27.82,0.35,7.61,,,,,,
7/13/2019 12:15,0,2.23,2.78,27.54,0.35,7.96,,,,,,
7/13/2019 12:30,0,2.11,2.69,32.35,0.35,7.96,,,,,,
7/13/2019 12:45,0,2.05,1.87,32.37,0.35,8.6,,,,,,
7/13/2019 13:00,0,2.24,1.77,32.24,0.27,8.26,,,,,,
7/13/2019 13:15,0,2.08,1,32.39,0.35,8.65,,,,,,
7/13/2019 13:30,0,2.18,0.6,32.33,0.35,10.04,,,,,,
7/13/2019 13:45,0,2.34,0.84,32.06,0.35,10.53,,,,,,
7/13/2019 14:00,0,2.15,2.05,32.2,0.35,10.75,,,,,,
7/13/2019 14:15,0,2.13,1.47,32.15,0.35,10.97,,,,,,
7/13/2019 14:30,1.96,2.29,1.09,32.2,0.35,10.97,,,,,,
7/13/2019 14:45,0,2.34,1.41,28.83,0.27,11.11,,,,,,
7/13/2019 15:00,0,2.33,0,32.15,0.35,11.18,,,,,,
7/13/2019 15:15,0,2.32,1.5,32.18,0.35,11.51,,,,,,
7/13/2019 15:30,0,2.17,1.55,32.2,0.27,11.72,,,,,,
7/13/2019 15:45,0,2.13,1.34,32.45,0.27,11.76,,,,,,
7/13/2019 16:00,0,2.27,3.24,32.39,0.27,11.69,,,,,,
7/13/2019 16:15,0,2.14,1.68,32.54,0.35,11.42,,,,,,
7/13/2019 16:30,0,2.27,1.77,32.79,0.35,11.13,,,,,,
7/13/2019 16:45,0,2.18,1.19,32.91,0.27,10.14,,,,,,
7/13/2019 17:00,0,2.24,1.94,32.89,0.35,8.89,,,,,,
7/13/2019 17:15,0,2.27,2.23,33.02,0.27,8.46,,,,,,
7/13/2019 17:30,0,2.21,1.19,32.96,0.27,7.96,,,,,,
7/13/2019 17:45,0,2.24,0.66,33.02,0.35,7.71,,,,,,
7/13/2019 18:00,0,2.2,1.62,32.97,0.41,7.57,,,,,,
7/13/2019 18:15,0,2.28,2.08,32.93,0.41,6.88,,,,,,
7/13/2019 18:30,0,2.57,1.15,32.87,0.41,7.01,,,,,,
7/13/2019 18:45,0,2.23,1.91,32.76,0.41,7.15,,,,,,
7/13/2019 19:00,0,2.5,1.5,32.81,0.41,6.97,,,,,,
7/13/2019 19:15,0,2.23,1.86,32.74,0.35,5.72,,,,,,
7/13/2019 19:30,0,2.25,1.48,32.7,0.35,6.39,,,,,,
7/13/2019 19:45,0,2.31,1.45,32.74,0.41,6.39,,,,,,
7/13/2019 20:00,0,2.33,1.07,32.61,0.41,5.47,,,,,,
7/13/2019 20:15,0,2.16,1.65,32.59,0.41,5.71,,,,,,
7/13/2019 20:30,0,2.22,0.73,32.51,0.41,5.32,,,,,,
7/13/2019 20:45,0,2.35,1.41,32.21,0.41,5.44,,,,,,
7/13/2019 21:00,0,2.23,1,32.29,0.35,5.66,,,,,,
7/13/2019 21:15,0,2.27,1,32.25,0.35,5.65,,,,,,
