Serial_number:,,,,,
2020421,,,,,
Project ID:,,,,,
,,,,,
Location:,,,,,
,,,,,
LEVEL,,,,,
UNIT: kPa,,,,,
Offset: 0.000000 kPa,,,,,
TEMPERATURE,,,,,
UNIT: °C,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,Level mH20
7/10/2019,11:57:00 AM,0,0.1068,10.132,0.010890823
7/10/2019,12:12:00 PM,0,0.0723,8.1,0.00737272
7/10/2019,12:27:00 PM,0,0.0703,8.231,0.007168772
7/10/2019,12:42:00 PM,0,0.0645,9.05,0.006577323
7/10/2019,12:57:00 PM,0,0.0801,9.743,0.008168117
7/10/2019,1:12:00 PM,0,0.058,9.046,0.005914492
7/10/2019,1:27:00 PM,0,0.0417,9.308,0.004252316
7/10/2019,1:42:00 PM,0,0.0459,10.837,0.004680607
7/10/2019,1:57:00 PM,0,0.2622,11.693,0.026737583
7/10/2019,2:12:00 PM,0,0.2801,11.93,0.028562917
7/10/2019,2:27:00 PM,0,0.269,12.111,0.027431006
7/10/2019,2:42:00 PM,0,0.2566,12.238,0.026166528
7/10/2019,2:57:00 PM,0,0.2528,12.04,0.025779027
7/10/2019,3:12:00 PM,0,0.279,11.804,0.028450746
7/10/2019,3:27:00 PM,0,0.2453,11.583,0.025014222
7/10/2019,3:42:00 PM,0,0.2241,11.368,0.022852373
7/10/2019,3:57:00 PM,0,0.2456,11.249,0.025044814
7/10/2019,4:12:00 PM,0,0.2448,11.215,0.024963235
7/10/2019,4:27:00 PM,0,0.2045,11.054,0.020853683
7/10/2019,4:42:00 PM,0,0.2211,10.843,0.022546451
7/10/2019,4:57:00 PM,0,0.2016,10.571,0.020557958
7/10/2019,5:12:00 PM,0,0.1944,10.375,0.019823746
7/10/2019,5:27:00 PM,0,0.177,10.129,0.018049398
7/10/2019,5:42:00 PM,0,0.211,9.861,0.021516514
7/10/2019,5:57:00 PM,0,0.1915,9.554,0.019528021
7/10/2019,6:12:00 PM,0,0.1762,9.28,0.017967819
7/10/2019,6:27:00 PM,0,0.1815,9.02,0.018508281
7/10/2019,6:42:00 PM,0,0.1819,8.777,0.018549071
7/10/2019,6:57:00 PM,0,0.1569,8.536,0.015999721
7/10/2019,7:12:00 PM,0,0.1754,8.305,0.01788624
7/10/2019,7:27:00 PM,0,0.1819,8.092,0.018549071
7/10/2019,7:42:00 PM,0,0.1275,7.897,0.013001685
7/10/2019,7:57:00 PM,0,0.1243,7.701,0.012675368
7/10/2019,8:12:00 PM,0,0.1008,7.491,0.010278979
7/10/2019,8:27:00 PM,0,0.1522,7.272,0.015520443
7/10/2019,8:42:00 PM,0,0.1417,7.12,0.014449716
7/10/2019,8:57:00 PM,0,0.1119,6.914,0.011410891
7/10/2019,9:12:00 PM,0,0.0999,6.699,0.010187203
7/10/2019,9:27:00 PM,0,0.1055,6.526,0.010758257
7/10/2019,9:42:00 PM,0,0.0922,6.346,0.009402003
7/10/2019,9:57:00 PM,0,0.0691,6.169,0.007046403
7/10/2019,10:12:00 PM,0,0.0637,6.001,0.006495744
7/10/2019,10:27:00 PM,0,0.0837,5.882,0.008535224
7/10/2019,10:42:00 PM,0,0.0617,5.754,0.006291796
7/10/2019,10:57:00 PM,0,0.0618,5.607,0.006301993
7/10/2019,11:12:00 PM,0,0.0633,5.493,0.006454954
7/10/2019,11:27:00 PM,0,0.0806,5.386,0.008219104
7/10/2019,11:42:00 PM,0,0.0625,5.294,0.006373375
7/10/2019,11:57:00 PM,0,0.03,5.195,0.00305922
7/11/2019,12:12:00 AM,0,0.0501,5.059,0.005108897
7/11/2019,12:27:00 AM,0,0.0361,4.957,0.003681261
7/11/2019,12:42:00 AM,0,0.0556,4.864,0.005669754
7/11/2019,12:57:00 AM,0,0.0589,4.814,0.006006269
7/11/2019,1:12:00 AM,0,0.0204,4.763,0.00208027
7/11/2019,1:27:00 AM,0,0.0328,4.716,0.003344747
7/11/2019,1:42:00 AM,0,0.0198,4.655,0.002019085
7/11/2019,1:57:00 AM,0,0.029,4.598,0.002957246
7/11/2019,2:12:00 AM,0,0.0154,4.496,0.0015704
7/11/2019,2:27:00 AM,0,0.0274,4.401,0.002794088
7/11/2019,2:42:00 AM,0,0.0386,4.374,0.003936196
7/11/2019,2:57:00 AM,0,0.0404,4.291,0.00411975
7/11/2019,3:12:00 AM,0,0.0272,4.215,0.002773693
7/11/2019,3:27:00 AM,0,0.0224,4.147,0.002284218
7/11/2019,3:42:00 AM,0,0.024,4.025,0.002447376
7/11/2019,3:57:00 AM,0,0.0207,3.947,0.002110862
7/11/2019,4:12:00 AM,0,0.0422,3.925,0.004303303
7/11/2019,4:27:00 AM,0,0.026,3.885,0.002651324
7/11/2019,4:42:00 AM,0,0.0151,3.862,0.001539807
7/11/2019,4:57:00 AM,0,0.0358,3.837,0.003650669
7/11/2019,5:12:00 AM,0,0.0502,3.81,0.005119095
7/11/2019,5:27:00 AM,0,0.0332,3.802,0.003385537
7/11/2019,5:42:00 AM,0,0.0417,3.749,0.004252316
7/11/2019,5:57:00 AM,0,0.0544,3.665,0.005547386
7/11/2019,6:12:00 AM,0,0.007,3.624,0.000713818
7/11/2019,6:27:00 AM,0,0.0377,3.562,0.00384442
7/11/2019,6:42:00 AM,0,0.0151,3.504,0.001539807
7/11/2019,6:57:00 AM,0,0.0525,3.45,0.005353635
7/11/2019,7:12:00 AM,0,0.0524,3.407,0.005343438
7/11/2019,7:27:00 AM,0,0.0416,3.352,0.004242118
7/11/2019,7:42:00 AM,0,0.054,3.36,0.005506596
7/11/2019,7:57:00 AM,0,0.0321,3.513,0.003273365
7/11/2019,8:12:00 AM,0,0.0344,3.79,0.003507906
7/11/2019,8:27:00 AM,0,0.0197,4.15,0.002008888
7/11/2019,8:42:00 AM,0,0.0388,4.554,0.003956591
7/11/2019,8:57:00 AM,0,0.0226,4.996,0.002304612
7/11/2019,9:12:00 AM,0,0.0418,5.434,0.004262513
7/11/2019,9:27:00 AM,0,0.0469,5.725,0.004782581
7/11/2019,9:42:00 AM,0,0.0545,5.98,0.005557583
7/11/2019,9:57:00 AM,0,0.0274,6.23,0.002794088
7/11/2019,10:12:00 AM,0,0.0185,6.614,0.001886519
7/11/2019,10:27:00 AM,0,0.0242,7.263,0.002467771
7/11/2019,10:42:00 AM,0,0.0128,7.858,0.001305267
7/11/2019,10:57:00 AM,0,0.0196,8.471,0.00199869
7/11/2019,11:12:00 AM,0,0.0468,9.064,0.004772383
7/11/2019,11:27:00 AM,0,0.0244,9.673,0.002488166
7/11/2019,11:42:00 AM,0,0.0372,10.075,0.003793433
7/11/2019,11:57:00 AM,0,-0.0071,10.421,-0.000724015
7/11/2019,12:12:00 PM,0,0.0649,14.963,0.006618113
7/11/2019,12:27:00 PM,0,0.1674,12.326,0.017070448
7/11/2019,12:42:00 PM,0,0.1903,12.433,0.019405652
7/11/2019,12:57:00 PM,0,0.1635,12.781,0.016672749
7/11/2019,1:12:00 PM,0,0.1518,13.267,0.015479653
7/11/2019,1:27:00 PM,0,0.2068,13.822,0.021088223
7/11/2019,1:42:00 PM,0,1.6908,14.725,0.172417639
7/11/2019,1:57:00 PM,0,1.759,14.963,0.179372266
7/11/2019,2:12:00 PM,0,1.8389,15.049,0.187519989
7/11/2019,2:27:00 PM,0,1.7773,15,0.18123839
7/11/2019,2:42:00 PM,0,1.7928,14.683,0.182818987
7/11/2019,2:57:00 PM,0,1.7927,14.356,0.18280879
7/11/2019,3:12:00 PM,0,1.7721,14.017,0.180708125
7/11/2019,3:27:00 PM,0,1.7749,13.623,0.180993653
7/11/2019,3:42:00 PM,0,1.7903,13.281,0.182564052
7/11/2019,3:57:00 PM,0,1.7939,13.011,0.182931159
7/11/2019,4:12:00 PM,0,1.7107,12.932,0.174446922
7/11/2019,4:27:00 PM,0,1.7963,12.646,0.183175896
7/11/2019,4:42:00 PM,0,1.8231,12.495,0.185908799
7/11/2019,4:57:00 PM,0,1.8159,12.396,0.185174587
7/11/2019,5:12:00 PM,0,1.8207,12.352,0.185664062
7/11/2019,5:27:00 PM,0,1.7986,12.204,0.183410436
7/11/2019,5:42:00 PM,0,1.8102,11.957,0.184593335
7/11/2019,5:57:00 PM,0,1.7732,11.684,0.180820297
7/11/2019,6:12:00 PM,0,1.7783,11.459,0.181340364
7/11/2019,6:27:00 PM,0,1.8276,11.217,0.186367682
7/11/2019,6:42:00 PM,0,1.7616,10.963,0.179637398
7/11/2019,6:57:00 PM,0,1.7984,10.761,0.183390042
7/11/2019,7:12:00 PM,0,1.789,10.586,0.182431486
7/11/2019,7:27:00 PM,0,1.7392,10.436,0.177353181
7/11/2019,7:42:00 PM,0,1.7475,10.308,0.178199565
7/11/2019,7:57:00 PM,0,1.7227,10.19,0.17567061
7/11/2019,8:12:00 PM,0,1.6977,10.076,0.17312126
7/11/2019,8:27:00 PM,0,1.7288,9.966,0.176292651
7/11/2019,8:42:00 PM,0,1.6863,9.837,0.171958756
7/11/2019,8:57:00 PM,0,1.7427,9.72,0.17771009
7/11/2019,9:12:00 PM,0,1.7961,9.611,0.183155501
7/11/2019,9:27:00 PM,0,1.7778,9.505,0.181289377
7/11/2019,9:42:00 PM,0,1.7885,9.414,0.182380499
7/11/2019,9:57:00 PM,0,1.7883,9.319,0.182360104
7/11/2019,10:12:00 PM,0,1.7557,9.23,0.179035752
7/11/2019,10:27:00 PM,0,1.8074,9.14,0.184307808
7/11/2019,10:42:00 PM,0,1.7484,9.046,0.178291342
7/11/2019,10:57:00 PM,0,1.7626,8.972,0.179739372
7/11/2019,11:12:00 PM,0,1.7499,8.895,0.178444303
7/11/2019,11:27:00 PM,0,1.7801,8.843,0.181523917
7/11/2019,11:42:00 PM,0,1.7609,8.784,0.179566017
7/11/2019,11:57:00 PM,0,1.7608,8.716,0.179555819
7/12/2019,12:12:00 AM,0,1.7741,8.632,0.180912073
7/12/2019,12:27:00 AM,0,1.7471,8.571,0.178158775
7/12/2019,12:42:00 AM,0,1.7827,8.508,0.18178905
7/12/2019,12:57:00 AM,0,1.7551,8.453,0.178974567
7/12/2019,1:12:00 AM,0,1.7504,8.403,0.17849529
7/12/2019,1:27:00 AM,0,1.7834,8.331,0.181860432
7/12/2019,1:42:00 AM,0,1.7603,8.273,0.179504832
7/12/2019,1:57:00 AM,0,1.7438,8.224,0.177822261
7/12/2019,2:12:00 AM,0,1.7465,8.168,0.178097591
7/12/2019,2:27:00 AM,0,1.7819,8.11,0.181707471
7/12/2019,2:42:00 AM,0,1.7935,8.054,0.182890369
7/12/2019,2:57:00 AM,0,1.7696,8.004,0.18045319
7/12/2019,3:12:00 AM,0,1.7721,7.966,0.180708125
7/12/2019,3:27:00 AM,0,1.7176,7.928,0.175150542
7/12/2019,3:42:00 AM,0,1.7549,7.888,0.178954173
7/12/2019,3:57:00 AM,0,1.7545,7.848,0.178913383
7/12/2019,4:12:00 AM,0,1.7436,7.798,0.177801866
7/12/2019,4:27:00 AM,0,1.7564,7.741,0.179107134
7/12/2019,4:42:00 AM,0,1.723,7.683,0.175701202
7/12/2019,4:57:00 AM,0,1.7324,7.626,0.176659758
7/12/2019,5:12:00 AM,0,1.7574,7.556,0.179209108
7/12/2019,5:27:00 AM,0,1.7685,7.486,0.180341019
7/12/2019,5:42:00 AM,0,1.7563,7.423,0.179096936
7/12/2019,5:57:00 AM,0,1.7839,7.37,0.181911419
7/12/2019,6:12:00 AM,0,1.7585,7.315,0.179321279
7/12/2019,6:27:00 AM,0,1.7822,7.265,0.181738063
7/12/2019,6:42:00 AM,0,1.7914,7.218,0.182676224
7/12/2019,6:57:00 AM,0,1.7917,7.188,0.182706816
7/12/2019,7:12:00 AM,0,1.8053,7.183,0.184093662
7/12/2019,7:27:00 AM,0,1.8143,7.173,0.185011428
7/12/2019,7:42:00 AM,0,1.8255,7.195,0.186153537
7/12/2019,7:57:00 AM,0,1.7897,7.22,0.182502868
7/12/2019,8:12:00 AM,0,1.8253,7.308,0.186133142
7/12/2019,8:27:00 AM,0,1.7878,7.425,0.182309117
7/12/2019,8:42:00 AM,0,1.794,7.526,0.182941356
7/12/2019,8:57:00 AM,0,1.7982,7.626,0.183369647
7/12/2019,9:12:00 AM,0,1.8201,7.75,0.185602877
7/12/2019,9:27:00 AM,0,1.779,7.835,0.181411746
7/12/2019,9:42:00 AM,0,1.8168,7.99,0.185266363
7/12/2019,9:57:00 AM,0,1.833,8.134,0.186918342
7/12/2019,10:12:00 AM,0,1.8152,8.35,0.185103205
7/12/2019,10:27:00 AM,0,1.8074,8.605,0.184307808
7/12/2019,10:42:00 AM,0,1.8386,8.937,0.187489396
7/12/2019,10:57:00 AM,0,1.8318,9.373,0.186795973
7/12/2019,11:12:00 AM,0,1.8263,9.697,0.186235116
7/12/2019,11:27:00 AM,0,1.8632,9.941,0.189997957
7/12/2019,11:42:00 AM,0,1.8324,10.415,0.186857158
7/12/2019,11:57:00 AM,0,1.9173,10.448,0.19551475
