Serial_number:,,,,,,,
2020421,,,,,,,3.7733
Project ID:,,,,,,,3.7733
,,,,,,,3.7733
Location:,,,,,,,
,,,,,,,
LEVEL,,,,,,,
UNIT: kPa,,,,,,,
Offset: 0.000000 kPa,,,,,,,
TEMPERATURE,,,,,,,
UNIT: °C,,,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,Level mH2O,,
7/13/2019,10:15:00 AM,0,1.8678,7.811,,,
7/13/2019,10:30:00 AM,0,1.8631,7.88,,,
7/13/2019,10:45:00 AM,0,1.8759,7.981,,,
7/13/2019,11:00:00 AM,0,1.8576,8.159,,,
7/13/2019,11:15:00 AM,0,1.8191,8.536,,,
7/13/2019,11:30:00 AM,0,1.9342,8.723,,,
7/13/2019,11:45:00 AM,0,1.8775,8.797,,,
7/13/2019,12:00:00 PM,0,1.831,8.928,,,
7/13/2019,12:15:00 PM,0,1.8457,9.237,,,
7/13/2019,12:30:00 PM,0,1.8442,9.394,,,
7/13/2019,12:45:00 PM,0,1.9025,9.647,,,
7/13/2019,1:00:00 PM,0,1.8711,9.805,,,
7/13/2019,1:15:00 PM,0,1.913,9.915,,,
7/13/2019,1:30:00 PM,0,1.8888,10.076,,,
7/13/2019,1:45:00 PM,0,1.8517,10.178,,,
7/13/2019,2:00:00 PM,0,1.9484,10.515,,,
7/13/2019,2:15:00 PM,0,1.919,10.698,,,
7/13/2019,2:30:00 PM,0,1.7656,10.793,,,
7/13/2019,2:45:00 PM,0,1.8965,10.7,,,
7/13/2019,3:00:00 PM,0,1.7925,10.781,,,
7/13/2019,3:15:00 PM,0,1.8816,11.11,,,
7/13/2019,3:30:00 PM,0,1.9015,11.288,,,
7/13/2019,3:45:00 PM,0,1.8405,11.512,,,
7/13/2019,4:00:00 PM,0,1.812,11.611,,,
7/13/2019,4:15:00 PM,0,1.8243,11.605,,,
7/13/2019,4:30:00 PM,0,1.894,11.555,,,
7/13/2019,4:45:00 PM,0,1.8129,11.347,,,
7/13/2019,5:00:00 PM,0,1.8233,11.148,,,
7/13/2019,5:15:00 PM,0,1.9167,10.945,,,
7/13/2019,5:30:00 PM,0,1.8298,10.761,,,
7/13/2019,5:45:00 PM,0,1.8257,10.559,,,
7/13/2019,6:00:00 PM,0,1.8804,10.315,,,
7/13/2019,6:15:00 PM,0,1.8335,10.078,,,
7/13/2019,6:30:00 PM,0,1.8306,9.858,,,
7/13/2019,6:45:00 PM,0,1.7598,9.669,,,
7/13/2019,7:00:00 PM,0,1.8409,9.517,,,
7/13/2019,7:15:00 PM,0,1.9234,9.398,,,
7/13/2019,7:30:00 PM,0,1.8739,9.247,,,
7/13/2019,7:45:00 PM,0,1.847,9.134,,,
7/13/2019,8:00:00 PM,0,1.8479,9.002,,,
7/13/2019,8:15:00 PM,0,1.9095,8.887,,,
7/13/2019,8:30:00 PM,0,1.7998,8.793,,,
7/13/2019,8:45:00 PM,0,1.835,8.7,,,
7/13/2019,9:00:00 PM,0,1.8757,8.598,,,
7/13/2019,9:15:00 PM,0,1.8638,8.516,,,
7/13/2019,9:30:00 PM,0,1.8293,8.433,,,
7/13/2019,9:45:00 PM,0,1.8059,8.353,,,
7/13/2019,10:00:00 PM,0,1.8767,8.283,,,
7/13/2019,10:15:00 PM,0,1.8083,8.218,,,
7/13/2019,10:30:00 PM,0,1.8415,8.151,,,
7/13/2019,10:45:00 PM,0,1.7746,8.085,,,
7/13/2019,11:00:00 PM,0,1.8297,8.019,,,
7/13/2019,11:15:00 PM,0,1.8095,7.959,,,
7/13/2019,11:30:00 PM,0,1.8633,7.91,,,
7/13/2019,11:45:00 PM,0,1.774,7.835,,,
7/14/2019,12:00:00 AM,0,1.8542,7.746,,,
7/14/2019,12:15:00 AM,0,1.8327,7.673,,,
7/14/2019,12:30:00 AM,0,1.8816,7.585,,,
7/14/2019,12:45:00 AM,0,1.821,7.497,,,
7/14/2019,1:00:00 AM,0,1.8756,7.397,,,
7/14/2019,1:15:00 AM,0,1.8576,7.313,,,
7/14/2019,1:30:00 AM,0,1.8572,7.244,,,
7/14/2019,1:45:00 AM,0,1.8205,7.182,,,
7/14/2019,2:00:00 AM,0,1.8531,7.138,,,
7/14/2019,2:15:00 AM,0,1.8653,7.103,,,
7/14/2019,2:30:00 AM,0,1.8206,7.073,,,
7/14/2019,2:45:00 AM,0,1.8197,7.042,,,
7/14/2019,3:00:00 AM,0,1.8312,7.012,,,
7/14/2019,3:15:00 AM,0,1.8515,6.979,,,
7/14/2019,3:30:00 AM,0,1.8745,6.95,,,
7/14/2019,3:45:00 AM,0,1.9045,6.892,,,
7/14/2019,4:00:00 AM,0,1.8307,6.852,,,
7/14/2019,4:15:00 AM,0,1.8598,6.8,,,
7/14/2019,4:30:00 AM,0,1.8884,6.746,,,
7/14/2019,4:45:00 AM,0,1.8511,6.694,,,
7/14/2019,5:00:00 AM,0,1.8735,6.629,,,
7/14/2019,5:15:00 AM,0,1.8445,6.558,,,
7/14/2019,5:30:00 AM,0,1.8651,6.503,,,
7/14/2019,5:45:00 AM,0,1.8597,6.453,,,
7/14/2019,6:00:00 AM,0,1.8608,6.405,,,
7/14/2019,6:15:00 AM,0,1.8886,6.343,,,
7/14/2019,6:30:00 AM,0,1.9006,6.284,,,
7/14/2019,6:45:00 AM,0,1.9169,6.238,,,
7/14/2019,7:00:00 AM,0,1.9274,6.214,,,
7/14/2019,7:15:00 AM,0,1.9298,6.197,,,
7/14/2019,7:30:00 AM,0,1.9334,6.229,,,
7/14/2019,7:45:00 AM,0,1.9746,6.236,,,
7/14/2019,8:00:00 AM,0,2.0104,6.161,,,
7/14/2019,8:15:00 AM,0,2.0477,6.078,,,
7/14/2019,8:30:00 AM,0,2.0845,6.07,,,
7/14/2019,8:45:00 AM,0,2.0887,6.04,,,
7/14/2019,9:00:00 AM,0,2.1232,5.956,,,
7/14/2019,9:15:00 AM,0,2.1225,5.769,,,
7/14/2019,9:30:00 AM,0,2.1597,5.678,,,
7/14/2019,9:45:00 AM,0,2.1871,5.786,,,
