x,depth,velocity,segment,Q,Qtotal,Area,Atotal,,Atotal,Qtotal
13,0,0,0.13,,0.00719,0,0.02195,,0.02195,0.00719
20,1,0,0.25,0,,0.0012,,,,
30,3,0.22,0.325,0.000495,,0.00225,,,,
35,5,0.17,0.375,0.000425,,0.0025,,,,
40,6,0.27,0.425,0.00081,,0.003,,,,
45,9,0.44,0.475,0.00198,,0.0045,,,,
50,7,0.35,0.525,0.001225,,0.0035,,,,
55,5,0.59,0.575,0.001475,,0.0025,,,,
60,4,0.39,0.625,0.00078,,0.002,,,,
65,1,0,0.675,0,,0.0005,,,,
70,0,0,,,,0,,,,
,,,,,,0,,,,
,,,,,,0,,,,
,,,,,,0,,,,
