Plot Title: LUXarriba_04,,,,,,,
#,"Date Time, GMT-05:00",temp,"Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)",Coupler Attached (LGR S/N: 10801151),Host Connected (LGR S/N: 10801151),Stopped (LGR S/N: 10801151),End Of File (LGR S/N: 10801151)
1,7/14/2021 14:15,,60622.6,,,,
2,7/14/2021 14:30,,30311.3,,,,
3,7/14/2021 14:45,,57867,,,,
4,7/14/2021 15:00,,55111.5,,,,
5,7/14/2021 15:15,,170845.6,,,,
6,7/14/2021 15:30,,38578,,,,
7,7/14/2021 15:45,,34444.7,,,,
8,7/14/2021 16:00,,42711.4,,,,
9,7/14/2021 16:15,,33066.9,,,,
10,7/14/2021 16:30,,110223,,,,
11,7/14/2021 16:45,,52355.9,,,,
12,7/14/2021 17:00,,16533.4,,,,
13,7/14/2021 17:15,,22044.6,,,,
14,7/14/2021 17:30,,2497.2,,,,
15,7/14/2021 17:45,,4133.4,,,,
16,7/14/2021 18:00,,2755.6,,,,
17,7/14/2021 18:15,,710.4,,,,
18,7/14/2021 18:30,,161.5,,,,
19,7/14/2021 18:45,,0,,,,
20,7/14/2021 19:00,,0,,,,
21,7/14/2021 19:15,,0,,,,
22,7/14/2021 19:30,,0,,,,
23,7/14/2021 19:45,,0,,,,
24,7/14/2021 20:00,,0,,,,
25,7/14/2021 20:15,,0,,,,
26,7/14/2021 20:30,,0,,,,
27,7/14/2021 20:45,,0,,,,
28,7/14/2021 21:00,,0,,,,
29,7/14/2021 21:15,,0,,,,
30,7/14/2021 21:30,,0,,,,
31,7/14/2021 21:45,,0,,,,
32,7/14/2021 22:00,,0,,,,
33,7/14/2021 22:15,,0,,,,
34,7/14/2021 22:30,,0,,,,
35,7/14/2021 22:45,,0,,,,
36,7/14/2021 23:00,,0,,,,
37,7/14/2021 23:15,,0,,,,
38,7/14/2021 23:30,,0,,,,
39,7/14/2021 23:45,,0,,,,
40,7/15/2021 0:00,,0,,,,
41,7/15/2021 0:15,,0,,,,
42,7/15/2021 0:30,,0,,,,
43,7/15/2021 0:45,,0,,,,
44,7/15/2021 1:00,,0,,,,
45,7/15/2021 1:15,,0,,,,
46,7/15/2021 1:30,,0,,,,
47,7/15/2021 1:45,,0,,,,
48,7/15/2021 2:00,,0,,,,
49,7/15/2021 2:15,,0,,,,
50,7/15/2021 2:30,,0,,,,
51,7/15/2021 2:45,,0,,,,
52,7/15/2021 3:00,,0,,,,
53,7/15/2021 3:15,,0,,,,
54,7/15/2021 3:30,,0,,,,
55,7/15/2021 3:45,,0,,,,
56,7/15/2021 4:00,,0,,,,
57,7/15/2021 4:15,,0,,,,
58,7/15/2021 4:30,,0,,,,
59,7/15/2021 4:45,,0,,,,
60,7/15/2021 5:00,,0,,,,
61,7/15/2021 5:15,,0,,,,
62,7/15/2021 5:30,,0,,,,
63,7/15/2021 5:45,,0,,,,
64,7/15/2021 6:00,,0,,,,
65,7/15/2021 6:15,,258.3,,,,
66,7/15/2021 6:30,,796.5,,,,
67,7/15/2021 6:45,,1722.2,,,,
68,7/15/2021 7:00,,1808.3,,,,
69,7/15/2021 7:15,,3788.9,,,,
70,7/15/2021 7:30,,6200,,,,
71,7/15/2021 7:45,,17911.2,,,,
72,7/15/2021 8:00,,17222.3,,,,
73,7/15/2021 8:15,,19977.9,,,,
74,7/15/2021 8:30,,16533.4,,,,
75,7/15/2021 8:45,,27555.7,,,,
76,7/15/2021 9:00,,24800.2,,,,
77,7/15/2021 9:15,,24800.2,,,,
78,7/15/2021 9:30,,26178,,,,
79,7/15/2021 9:45,,34444.7,,,,
80,7/15/2021 10:00,,35822.5,,,,
81,7/15/2021 10:15,,176356.7,,,,
82,7/15/2021 10:30,,104711.8,,,,
83,7/15/2021 10:45,,231468.2,,,,
84,7/15/2021 11:00,,242490.5,,,,
85,7/15/2021 11:15,,198401.3,,,,
86,7/15/2021 11:30,,231468.2,,,,
87,7/15/2021 11:45,,44089.2,,,,
88,7/15/2021 12:00,,220445.9,,,,
89,7/15/2021 12:15,,242490.5,,,,
90,7/15/2021 12:30,,264535.1,,,,
91,7/15/2021 12:45,,242490.5,,,,
92,7/15/2021 13:00,,253512.8,,,,
93,7/15/2021 13:15,,275557.4,,,,
94,7/15/2021 13:30,,275557.4,,,,
95,7/15/2021 13:45,,275557.4,,,,
96,7/15/2021 14:00,,85422.8,,,,
97,7/15/2021 14:15,,209423.6,,,,
98,7/15/2021 14:30,,88178.4,,,,
99,7/15/2021 14:45,,30311.3,,,,
100,7/15/2021 15:00,,21355.7,,,,
101,7/15/2021 15:15,,57867,,,,
102,7/15/2021 15:30,,27555.7,,,,
103,7/15/2021 15:45,,31689.1,,,,
104,7/15/2021 16:00,,49600.3,,,,
105,7/15/2021 16:15,,13777.9,,,,
106,7/15/2021 16:30,,26178,,,,
107,7/15/2021 16:45,,20666.8,,,,
