Plot Title: LUXabajo_04,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801154, SEN S/N: 10801154, LBL: Blue)","Intensity, Lux (LGR S/N: 10801154, SEN S/N: 10801154)",Coupler Attached (LGR S/N: 10801154),Host Connected (LGR S/N: 10801154),Stopped (LGR S/N: 10801154),End Of File (LGR S/N: 10801154)
1,7/14/2021 14:15,10.846,4650,,,,
2,7/14/2021 14:30,10.748,2497.2,,,,
3,7/14/2021 14:45,10.846,3444.5,,,,
4,7/14/2021 15:00,10.748,3272.2,,,,
5,7/14/2021 15:15,10.748,7577.8,,,,
6,7/14/2021 15:30,10.651,5166.7,,,,
7,7/14/2021 15:45,10.553,1980.6,,,,
8,7/14/2021 16:00,10.553,4650,,,,
9,7/14/2021 16:15,10.357,4994.5,,,,
10,7/14/2021 16:30,10.357,3444.5,,,,
11,7/14/2021 16:45,10.259,3788.9,,,,
12,7/14/2021 17:00,10.161,2411.1,,,,
13,7/14/2021 17:15,10.063,882.6,,,,
14,7/14/2021 17:30,9.866,376.7,,,,
15,7/14/2021 17:45,9.669,516.7,,,,
16,7/14/2021 18:00,9.571,279.9,,,,
17,7/14/2021 18:15,9.373,64.6,,,,
18,7/14/2021 18:30,9.275,10.8,,,,
19,7/14/2021 18:45,9.077,0,,,,
20,7/14/2021 19:00,8.879,0,,,,
21,7/14/2021 19:15,8.779,0,,,,
22,7/14/2021 19:30,8.68,0,,,,
23,7/14/2021 19:45,8.581,0,,,,
24,7/14/2021 20:00,8.481,0,,,,
25,7/14/2021 20:15,8.382,0,,,,
26,7/14/2021 20:30,8.282,0,,,,
27,7/14/2021 20:45,8.282,0,,,,
28,7/14/2021 21:00,8.182,0,,,,
29,7/14/2021 21:15,8.082,0,,,,
30,7/14/2021 21:30,8.082,0,,,,
31,7/14/2021 21:45,7.983,0,,,,
32,7/14/2021 22:00,7.983,0,,,,
33,7/14/2021 22:15,7.983,0,,,,
34,7/14/2021 22:30,7.882,0,,,,
35,7/14/2021 22:45,7.882,0,,,,
36,7/14/2021 23:00,7.782,0,,,,
37,7/14/2021 23:15,7.782,0,,,,
38,7/14/2021 23:30,7.682,0,,,,
39,7/14/2021 23:45,7.682,0,,,,
40,7/15/2021 0:00,7.682,0,,,,
41,7/15/2021 0:15,7.582,0,,,,
42,7/15/2021 0:30,7.582,0,,,,
43,7/15/2021 0:45,7.481,0,,,,
44,7/15/2021 1:00,7.481,0,,,,
45,7/15/2021 1:15,7.381,0,,,,
46,7/15/2021 1:30,7.28,0,,,,
47,7/15/2021 1:45,7.28,0,,,,
48,7/15/2021 2:00,7.179,0,,,,
49,7/15/2021 2:15,7.179,0,,,,
50,7/15/2021 2:30,7.179,0,,,,
51,7/15/2021 2:45,7.179,0,,,,
52,7/15/2021 3:00,7.079,0,,,,
53,7/15/2021 3:15,7.079,0,,,,
54,7/15/2021 3:30,7.079,0,,,,
55,7/15/2021 3:45,7.079,0,,,,
56,7/15/2021 4:00,6.978,0,,,,
57,7/15/2021 4:15,6.978,0,,,,
58,7/15/2021 4:30,6.978,0,,,,
59,7/15/2021 4:45,6.978,0,,,,
60,7/15/2021 5:00,6.877,0,,,,
61,7/15/2021 5:15,6.877,0,,,,
62,7/15/2021 5:30,6.877,0,,,,
63,7/15/2021 5:45,6.877,0,,,,
64,7/15/2021 6:00,6.775,0,,,,
65,7/15/2021 6:15,6.775,32.3,,,,
66,7/15/2021 6:30,6.775,107.6,,,,
67,7/15/2021 6:45,6.775,269.1,,,,
68,7/15/2021 7:00,6.775,269.1,,,,
69,7/15/2021 7:15,6.775,775,,,,
70,7/15/2021 7:30,6.775,1237.9,,,,
71,7/15/2021 7:45,6.775,3272.2,,,,
72,7/15/2021 8:00,6.775,2497.2,,,,
73,7/15/2021 8:15,6.877,2411.1,,,,
74,7/15/2021 8:30,6.877,2927.8,,,,
75,7/15/2021 8:45,6.978,4822.3,,,,
76,7/15/2021 9:00,7.079,4822.3,,,,
77,7/15/2021 9:15,7.079,3616.7,,,,
78,7/15/2021 9:30,7.179,5166.7,,,,
79,7/15/2021 9:45,7.28,7233.4,,,,
80,7/15/2021 10:00,7.481,3961.1,,,,
81,7/15/2021 10:15,7.682,7577.8,,,,
82,7/15/2021 10:30,7.882,9300.1,,,,
83,7/15/2021 10:45,8.182,17222.3,,,,
84,7/15/2021 11:00,9.965,104711.8,,,,
85,7/15/2021 11:15,10.455,66133.8,,,,
86,7/15/2021 11:30,11.139,132267.5,,,,
87,7/15/2021 11:45,10.357,14466.8,,,,
88,7/15/2021 12:00,10.553,49600.3,,,,
89,7/15/2021 12:15,10.748,9644.5,,,,
90,7/15/2021 12:30,10.846,19289,,,,
91,7/15/2021 12:45,11.916,38578,,,,
92,7/15/2021 13:00,12.787,71644.9,,,,
93,7/15/2021 13:15,11.625,22044.6,,,,
94,7/15/2021 13:30,11.722,13777.9,,,,
95,7/15/2021 13:45,11.819,14466.8,,,,
96,7/15/2021 14:00,11.819,16533.4,,,,
97,7/15/2021 14:15,11.819,5166.7,,,,
98,7/15/2021 14:30,12.11,16533.4,,,,
99,7/15/2021 14:45,11.819,6200,,,,
100,7/15/2021 15:00,11.722,5166.7,,,,
101,7/15/2021 15:15,11.625,8611.2,,,,
102,7/15/2021 15:30,11.528,5511.1,,,,
103,7/15/2021 15:45,11.528,6200,,,,
104,7/15/2021 16:00,11.334,7577.8,,,,
105,7/15/2021 16:15,11.139,2583.4,,,,
106,7/15/2021 16:30,11.041,4477.8,,,,
107,7/15/2021 16:45,10.944,3788.9,,,,
108,7/15/2021 17:00,10.748,1248.6,,,,
109,7/15/2021 17:15,10.651,958,,,,
110,7/15/2021 17:30,10.553,710.4,,,,
111,7/15/2021 17:45,10.357,925.7,,,,
112,7/15/2021 18:00,10.259,161.5,,,,
113,7/15/2021 18:15,10.161,32.3,,,,
114,7/15/2021 18:30,9.965,0,,,,
115,7/15/2021 18:45,9.866,0,,,,
116,7/15/2021 19:00,9.669,0,,,,
117,7/15/2021 19:15,9.571,0,,,,
118,7/15/2021 19:30,9.373,0,,,,
119,7/15/2021 19:45,9.275,0,,,,
120,7/15/2021 20:00,9.176,0,,,,
121,7/15/2021 20:15,8.978,0,,,,
122,7/15/2021 20:30,8.879,0,,,,
123,7/15/2021 20:45,8.779,0,,,,
124,7/15/2021 21:00,8.68,0,,,,
125,7/15/2021 21:15,8.481,0,,,,
126,7/15/2021 21:30,8.382,0,,,,
127,7/15/2021 21:45,8.282,0,,,,
128,7/15/2021 22:00,8.282,0,,,,
129,7/15/2021 22:15,8.182,0,,,,
130,7/15/2021 22:30,8.182,0,,,,
131,7/15/2021 22:45,8.182,0,,,,
132,7/15/2021 23:00,8.082,0,,,,
133,7/15/2021 23:15,8.082,0,,,,
134,7/15/2021 23:30,8.082,0,,,,
135,7/15/2021 23:45,8.082,0,,,,
136,7/16/2021 0:00,8.082,0,,,,
137,7/16/2021 0:15,8.082,0,,,,
138,7/16/2021 0:30,8.082,0,,,,
139,7/16/2021 0:45,7.983,0,,,,
140,7/16/2021 1:00,7.983,0,,,,
141,7/16/2021 1:15,7.983,0,,,,
142,7/16/2021 1:30,7.882,0,,,,
143,7/16/2021 1:45,7.882,0,,,,
144,7/16/2021 2:00,7.882,0,,,,
145,7/16/2021 2:15,7.782,0,,,,
146,7/16/2021 2:30,7.782,0,,,,
147,7/16/2021 2:45,7.682,0,,,,
