Plot Title: LUXabajo_04,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801154, SEN S/N: 10801154, LBL: Blue)","Intensity, Lux (LGR S/N: 10801154, SEN S/N: 10801154)",Coupler Attached (LGR S/N: 10801154),Host Connected (LGR S/N: 10801154),Stopped (LGR S/N: 10801154),End Of File (LGR S/N: 10801154)
1,7/9/2021 13:00,8.282,8611.2,,,,
2,7/9/2021 13:15,8.481,13777.9,,,,
3,7/9/2021 13:30,8.481,9300.1,,,,
4,7/9/2021 13:45,8.68,11022.3,,,,
5,7/9/2021 14:00,8.779,6200,,,,
6,7/9/2021 14:15,8.879,7577.8,,,,
7,7/9/2021 14:30,8.978,5511.1,,,,
8,7/9/2021 14:45,8.978,8611.2,,,,
9,7/9/2021 15:00,8.978,3444.5,,,,
10,7/9/2021 15:15,9.077,4477.8,,,,
11,7/9/2021 15:30,9.077,4650,,,,
12,7/9/2021 15:45,8.978,5166.7,,,,
13,7/9/2021 16:00,8.879,3788.9,,,,
14,7/9/2021 16:15,8.879,4305.6,,,,
15,7/9/2021 16:30,8.779,1722.2,,,,
16,7/9/2021 16:45,8.68,818.1,,,,
17,7/9/2021 17:00,8.581,850.4,,,,
18,7/9/2021 17:15,8.481,409,,,,
19,7/9/2021 17:30,8.382,441.3,,,,
20,7/9/2021 17:45,8.282,193.8,,,,
21,7/9/2021 18:00,8.182,86.1,,,,
22,7/9/2021 18:15,8.082,10.8,,,,
23,7/9/2021 18:30,7.983,0,,,,
24,7/9/2021 18:45,7.983,0,,,,
25,7/9/2021 19:00,7.882,0,,,,
26,7/9/2021 19:15,7.782,0,,,,
27,7/9/2021 19:30,7.782,0,,,,
28,7/9/2021 19:45,7.682,0,,,,
29,7/9/2021 20:00,7.582,0,,,,
30,7/9/2021 20:15,7.582,0,,,,
31,7/9/2021 20:30,7.481,0,,,,
32,7/9/2021 20:45,7.381,0,,,,
33,7/9/2021 21:00,7.381,0,,,,
34,7/9/2021 21:15,7.28,0,,,,
35,7/9/2021 21:30,7.28,0,,,,
36,7/9/2021 21:45,7.28,0,,,,
37,7/9/2021 22:00,7.179,0,,,,
38,7/9/2021 22:15,7.179,0,,,,
39,7/9/2021 22:30,7.179,0,,,,
40,7/9/2021 22:45,7.079,0,,,,
41,7/9/2021 23:00,7.079,0,,,,
42,7/9/2021 23:15,7.079,0,,,,
43,7/9/2021 23:30,6.978,0,,,,
