Plot Title: LUXarriba_04,,,,,,,
#,"Date Time, GMT-05:00",temp,"Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)",Coupler Attached (LGR S/N: 10801151),Host Connected (LGR S/N: 10801151),Stopped (LGR S/N: 10801151),End Of File (LGR S/N: 10801151)
1,7/9/2021 13:00,,46844.8,,,,
2,7/9/2021 13:15,,71644.9,,,,
3,7/9/2021 13:30,,46844.8,,,,
4,7/9/2021 13:45,,74400.5,,,,
5,7/9/2021 14:00,,30311.3,,,,
6,7/9/2021 14:15,,39955.8,,,,
7,7/9/2021 14:30,,34444.7,,,,
8,7/9/2021 14:45,,49600.3,,,,
9,7/9/2021 15:00,,27555.7,,,,
10,7/9/2021 15:15,,24800.2,,,,
11,7/9/2021 15:30,,28933.5,,,,
12,7/9/2021 15:45,,28933.5,,,,
13,7/9/2021 16:00,,16533.4,,,,
14,7/9/2021 16:15,,24800.2,,,,
15,7/9/2021 16:30,,7233.4,,,,
16,7/9/2021 16:45,,4305.6,,,,
17,7/9/2021 17:00,,3961.1,,,,
18,7/9/2021 17:15,,3788.9,,,,
19,7/9/2021 17:30,,2152.8,,,,
20,7/9/2021 17:45,,818.1,,,,
21,7/9/2021 18:00,,559.7,,,,
22,7/9/2021 18:15,,86.1,,,,
23,7/9/2021 18:30,,21.5,,,,
24,7/9/2021 18:45,,0,,,,
25,7/9/2021 19:00,,0,,,,
26,7/9/2021 19:15,,0,,,,
27,7/9/2021 19:30,,0,,,,
28,7/9/2021 19:45,,0,,,,
29,7/9/2021 20:00,,0,,,,
30,7/9/2021 20:15,,0,,,,
31,7/9/2021 20:30,,0,,,,
32,7/9/2021 20:45,,0,,,,
33,7/9/2021 21:00,,0,,,,
34,7/9/2021 21:15,,0,,,,
35,7/9/2021 21:30,,0,,,,
36,7/9/2021 21:45,,0,,,,
37,7/9/2021 22:00,,0,,,,
38,7/9/2021 22:15,,0,,,,
39,7/9/2021 22:30,,0,,,,
40,7/9/2021 22:45,,0,,,,
41,7/9/2021 23:00,,0,,,,
42,7/9/2021 23:15,,0,,,,
43,7/9/2021 23:30,,0,,,,
44,7/9/2021 23:45,,0,,,,
45,7/10/2021 0:00,,0,,,,
46,7/10/2021 0:15,,0,,,,
47,7/10/2021 0:30,,0,,,,
48,7/10/2021 0:45,,0,,,,
49,7/10/2021 1:00,,0,,,,
50,7/10/2021 1:15,,0,,,,
51,7/10/2021 1:30,,0,,,,
52,7/10/2021 1:45,,0,,,,
53,7/10/2021 2:00,,0,,,,
54,7/10/2021 2:15,,0,,,,
55,7/10/2021 2:30,,0,,,,
56,7/10/2021 2:45,,0,,,,
57,7/10/2021 3:00,,0,,,,
58,7/10/2021 3:15,,0,,,,
59,7/10/2021 3:30,,0,,,,
60,7/10/2021 3:45,,0,,,,
61,7/10/2021 4:00,,0,,,,
62,7/10/2021 4:15,,0,,,,
63,7/10/2021 4:30,,0,,,,
64,7/10/2021 4:45,,0,,,,
65,7/10/2021 5:00,,0,,,,
66,7/10/2021 5:15,,0,,,,
67,7/10/2021 5:30,,0,,,,
68,7/10/2021 5:45,,0,,,,
69,7/10/2021 6:00,,0,,,,
70,7/10/2021 6:15,,32.3,,,,
71,7/10/2021 6:30,,269.1,,,,
72,7/10/2021 6:45,,1097.9,,,,
