"","date","meanCO2dep","meanO2dep","minCO2dep","minO2dep","offset","EQ","width","stretch","n.obs","Q_ave","DO_ave","WLTemp_ave"
"1",2022-05-30,261.295827487003,-80.6340364369886,205.806125893076,-106.432537755557,180.661791050014,1.38168246086411,13.8640425223058,186.554685151265,96,0.011414407204027,4.8928125,6.74916666666667
"2",2022-05-29,252.649841557069,-77.5770760277349,209.644583651039,-106.573873797754,175.072765529334,1.14446245156674,8.51533847313858,169.792646280298,96,0.0137342282980789,4.9434375,7.01316666666667
"3",2022-05-28,238.172219096987,-67.4395874734482,190.846541382716,-100.557841148104,170.732631623539,1.02673165501075,28.4898191642023,179.989489225179,96,0.0210061477388175,5.3715625,6.48171875
"4",2022-05-27,235.533686534836,-60.679323614353,176.723269388154,-97.2799279578948,174.854362920483,1.27652254571596,33.037327019369,242.666966234994,96,0.044261257109088,5.54864583333333,6.712375
"5",2022-05-26,292.607555522917,-69.2926033511917,222.260322155582,-111.174620763358,223.314952171725,1.53532514405176,46.7391975944587,273.915694876727,96,0.021374237004293,5.1353125,7.47305208333333
"6",2022-05-20,325.393835240054,-124.627565119592,276.445255754214,-179.141996860876,200.766270120462,1.75805623896632,83.8300470619139,148.778867095756,96,0.00825762613980767,2.88135416666667,10.32671875
"7",2022-05-19,280.625868181791,-91.7727205816913,222.71342226586,-130.629008360355,188.8531476001,1.14826575568283,16.1166327663001,215.010356610742,96,0.0146472350542859,3.923125,10.4441875
"8",2022-05-18,264.054050139932,-76.6556674450132,208.124016521089,-114.184565148917,187.398382694919,1.01775965974383,27.1193629829469,220.564163195183,96,0.0229454946516133,4.62375,9.15917708333333
"9",2022-05-17,263.091681553268,-74.391931531538,195.479601834495,-115.51496194782,188.69975002173,1.41631075345368,32.1411051513144,256.413297452354,96,0.0300101854285455,4.85958333333333,8.16984375
"10",2022-05-16,287.355099313686,-66.3533599136559,213.113676095606,-119.814582382342,221.00173940003,1.63936964217721,59.5352567253215,336.50157356781,96,0.0308887425037774,5.10333333333333,8.19175
"11",2022-05-15,378.980717744801,-98.4146841522669,314.020554642713,-134.631520625717,280.566033592534,1.68009612470544,38.3853939818637,234.054535950499,96,0.0092178225039173,3.99541666666667,8.62898958333333
"12",2022-05-07,464.356544724842,-185.771443376807,442.880876041982,-210.877601456342,278.585101348035,1.10803618318279,70.9571397783416,118.692515412686,96,0.00408187165878893,1.06770833333333,9.48088541666667
"13",2022-05-06,425.813679259116,-119.641487114247,387.87627314907,-144.343423245446,306.172192144869,1.53527600023921,32.5811364559293,122.552079518703,96,0.00520232431684978,3.36208333333333,8.42140625
"14",2022-04-25,348.196075156961,-155.519961804109,305.387355898874,-210.621898022266,192.676113352852,1.08269268533849,103.582490961264,132.037244610692,96,0.00515155514514376,2.09614583333333,8.99746875
"15",2022-04-24,314.048313770835,-91.4001282999704,266.230642311935,-123.186859461934,222.648185470864,0.960338720145157,33.1802703039802,169.781039411991,96,0.00717692663279891,4.20989583333333,8.68229166666667
"16",2022-04-23,309.30225621068,-94.8583375668457,234.731959121213,-133.297259868187,214.443918643834,1.37395489156508,28.0143642332156,240.553298858909,96,0.00879035933731195,4.14885416666667,8.32857291666667
"17",2022-04-22,299.614727254127,-90.7452687234748,253.22098285585,-122.77086832795,208.869458530652,1.14160008963133,16.1844114196557,186.626446161728,96,0.00986315181976409,4.19135416666667,8.90510416666667
"18",2022-04-21,267.027854831114,-70.2507591586759,207.301644674908,-107.646424667877,196.777095672438,1.07076888080979,32.6197669087603,240.018160712946,96,0.0254445127448776,4.91708333333333,8.60179166666667
"19",2022-04-20,318.037469291306,-84.0088931883854,250.717052565146,-120.264874430523,234.028576102921,1.93533238114044,66.2381060426661,221.827990660512,96,0.0183236523975883,4.51666666666667,8.2790625
"20",2022-04-19,376.128558888387,-126.150404348914,312.611929008288,-218.955139693672,249.978154539473,0.884116028486026,68.3639663454603,269.683502609724,94,0.00528608446091913,2.94755319148936,9.54178125
"21",2022-04-17,404.657687285029,-170.866282516889,377.233005134116,-223.926846933532,233.79140476814,0.216526960253287,64.0388057367956,148.954701223767,96,0.00421381116331209,1.6634375,8.67071875
"22",2022-04-16,341.3653606444,-110.922653022347,318.589913358207,-128.261469378204,230.442707622053,1.01278623547621,54.033334436698,80.9225197526773,96,0.00528293587190157,3.64989583333333,8.3104375
"23",2022-04-15,332.38661479042,-103.454832006371,292.778640671816,-128.575085972787,228.931782784049,1.57037460252918,20.6534805963326,160.848898261631,96,0.00732528198353331,4.02458333333333,7.49979166666667
"24",2022-04-14,343.180871342306,-105.347170542566,297.337398897582,-130.16222694352,237.83370079974,1.91900828739415,54.3752521324065,166.618519608904,96,0.00760672570488936,3.9721875,7.43944791666667
"25",2022-04-13,382.969098559481,-109.062820935133,314.488659963032,-160.210204370576,273.906277624348,1.50316036923389,25.0406089091563,284.221154029157,96,0.00733783060256389,3.80697916666667,7.67446875
"26",2022-03-27,554.974749670262,-189.915462011539,520.139602718122,-203.037445928301,365.059287658723,2.40808246650488,21.6897575719062,119.303508208689,96,NA,1.20229166666667,7.79745833333333
"27",2022-03-17,499.275293428157,-209.612373451636,453.376239409107,-228.429475002135,289.662919976521,1.98829479955883,11.3397521049242,126.429655749627,96,NA,0.550208333333333,7.94096875
"28",2021-09-27,530.31246060094,-204.54775046774,490.331280312234,-225.812261801701,325.7647101332,3.8648086501684,47.0553072386708,137.31732431314,96,0.00557122646141431,0.873958333333333,7.20842013888889
"29",2021-09-26,458.916157281963,-177.620850079679,436.582557622429,-197.779425187058,281.295307202285,0.337365097960734,54.2515543277373,80.749386741477,96,0.00600098333129104,1.89989583333333,6.27423611111111
"30",2021-09-25,425.104443753925,-181.290755191664,407.216487347119,-197.8238734725,243.813688562261,0.669356660278462,36.7649812852593,65.8212175468863,96,0.00652272729173523,1.8259375,6.04136574074074
"31",2021-09-24,413.703124643757,-141.981587164732,381.737079470047,-177.89120431449,271.721537479025,0.950559647327116,37.9749090969405,99.1301775197045,96,0.00698420988234962,3.0075,6.40509259259259
"32",2021-09-23,362.22772829429,-106.970927264657,334.715488113642,-126.231147900678,255.256801029632,1.40301372826139,19.0283921537202,107.754358660029,96,0.00997580912372741,4.08375,6.58808449074074
"33",2021-09-20,592.986601431906,-222.675808736795,557.135321996469,-231.568251732688,370.310792695112,4.64733520723328,19.8506520902815,92.2343901304827,90,0.00526850959024826,0.267333333333333,7.22063657407407
"34",2021-09-19,513.68532065214,-206.073292849395,475.790578736296,-221.967005218879,307.612027802746,10.4862683306286,38.3798917526751,108.87791047497,96,0.00591125786542754,0.729270833333333,7.6239525462963
"35",2021-09-18,433.070634545145,-178.850150498034,399.521849634618,-197.442819973045,254.220484047111,3.48028652362871,46.2038109415698,105.7889176523,96,0.00654904422060286,1.7203125,6.98302083333333
"36",2021-09-17,354.640632537901,-134.906720463449,337.333316055208,-173.556093884156,219.733912074452,6.95385352855059,50.3299742143451,83.9938021491594,96,0.00828037094742841,3.22229166666667,6.52753472222222
"37",2021-09-16,358.695136133538,-139.692740849345,324.184190106047,-180.438133470947,219.002395284193,1.28011317095986,46.1470151574653,171.928926132726,96,0.00846704149966968,3.04041666666667,6.63240162037037
"38",2021-09-15,362.139617635808,-135.179180352902,337.031502183414,-179.063338077463,226.960437282906,1.38149895921424,55.8913152938341,107.257628944315,96,0.00857263990301564,3.05072916666667,7.35568287037037
"39",2021-09-14,289.587001876188,-104.150340196806,264.874499478206,-141.114914500264,185.436661679382,1.79806668229628,62.3721029506246,95.0656062907054,96,0.0132752604547198,4.075625,7.30515046296296
"40",2021-09-13,257.926193860497,-89.1882804230507,214.013608145244,-131.037796704292,168.737913437446,1.44866985478963,40.7333842869038,144.066564954312,96,0.0197844269347788,4.575,7.10610532407407
"41",2021-09-12,295.750831947846,-94.4786605179967,237.006842677218,-124.236043201704,201.27217142985,1.66633872011476,26.4572442895405,208.852012633982,96,0.0151758666640284,4.19697916666667,8.22520833333333
"42",2021-09-11,331.741448815841,-138.55301413063,282.255367551676,-197.166893259278,193.188434685211,0.858562396832919,36.9399035224834,214.410318557329,96,0.0113279305827184,2.7153125,8.60314236111111
"43",2021-09-10,306.169727177738,-112.578887113778,274.436957689644,-170.364718826311,193.590840063959,0.720246282777271,40.1054858725209,152.990843655063,96,0.0134819031023219,3.52104166666667,8.75438657407407
"44",2021-09-09,260.579246438226,-102.474617371558,213.13992740125,-160.198962325728,158.104629066669,1.00448879188633,33.1779223788834,168.898164251,96,0.0197780364449526,3.79270833333333,9.12498842592593
"45",2021-09-08,238.233862865653,-81.2517941872317,192.768278938989,-114.25526032614,156.982068678421,1.09040547209126,19.6862067659546,174.246237948592,96,0.0236785913040507,4.58177083333333,8.45106481481482
"46",2021-09-07,222.686815313037,-67.1427589903071,163.360705978625,-93.2687848853896,155.544056322729,1.71347035255917,53.722149569695,173.503293599977,96,0.0268155147729684,5.31354166666667,7.04331018518519
"47",2021-09-06,271.079180198922,-84.6907794722935,166.989721853867,-214.137671653609,186.388400726629,1.81833860224156,65.4767183579259,569.526694108196,96,0.0363575966137038,5.23583333333333,4.47944444444444
"48",2021-09-05,531.960407257127,-197.327760891655,491.528830702068,-210.049482388722,334.632646365472,4.27743188065368,36.2626522396788,106.415500944965,96,0.00529096144350158,1.086875,7.1670775462963
"49",2021-09-04,476.544382586628,-186.776278056003,454.319609033199,-205.884614494269,289.768104530626,0.568564905398247,38.4294737104084,94.12537157354,96,0.00593526369595803,1.35510416666667,7.54538194444444
"50",2021-09-03,472.884572778685,-183.61017311109,428.52973510716,-204.857704087148,289.274399667595,1.71325840349052,62.2336313122553,128.641628022208,96,0.00609123724437191,1.39041666666667,7.95505208333333
"51",2021-09-02,413.911870238148,-135.759532911378,338.779313561729,-236.549664713107,278.15233732677,1.55916384340637,54.6845240462028,435.356447522339,89,0.00791203734501585,2.90561797752809,8.01833912037037
"52",2021-08-30,447.370675682645,-210.289814974665,421.571597321402,-224.007440157381,237.08086070798,2.31191706421071,32.9672888868903,72.7464593193638,96,0.00590535283736868,0.698020833333333,7.0424537037037
