"date","meanCO2dep","meanO2dep","minCO2dep","minO2dep","offset","EQ","width","stretch","slope","n.obs","Q_m3s_ave","Q_m3s_min","Q_m3s_max","DO_mgL_ave","WLTemp_c_ave","Q_mgL_delta"
2022-05-30,261.295827487003,-80.6340364369886,205.806125893076,-106.432537755557,180.661791050014,1.38168246086411,13.864042522306,186.554685151265,-0.723755297128544,96,0.011414407204027,0.00821361151775618,0.0166785827553402,4.8928125,6.74916666666667,0.00846497123758402
2022-05-29,252.649841557069,-77.5770760277349,209.644583651039,-106.573873797754,175.072765529334,1.14446245156674,8.51533847313858,169.792646280298,-0.873772659497066,96,0.0137342282980789,0.00935924917672945,0.0177828853822848,4.9434375,7.01316666666667,0.00842363620555535
2022-05-28,238.172219096987,-67.4395874734482,190.846541382716,-100.557841148104,170.732631623539,1.02673165501075,28.4898191642025,179.989489225179,-0.97396432175799,96,0.0210061477388175,0.0167885403569361,0.0288536133500773,5.3715625,6.48171875,0.0120650729931412
2022-05-27,235.533686534836,-60.679323614353,176.723269388154,-97.2799279578948,174.854362920483,1.27652254571596,33.0373270193689,242.666966234994,-0.783378251607088,96,0.044261257109088,0.0269890978100581,0.0562148011977106,5.54864583333333,6.712375,0.0292257033876525
2022-05-26,292.607555522917,-69.2926033511917,222.260322155582,-111.174620763358,223.314952171725,1.53532514405176,46.7391975944588,273.915694876727,-0.651327833634624,96,0.021374237004293,0.0101158480761053,0.0318733016267231,5.1353125,7.47305208333333,0.0217574535506178
2022-05-20,325.393835240054,-124.627565119592,276.445255754214,-179.141996860876,200.766270120462,1.75805623896632,83.8300470619139,148.778867095756,-0.568810017470185,96,0.00825762613980767,0.00624851283405525,0.0102995171147762,2.88135416666667,10.32671875,0.00405100428072095
2022-05-19,280.625868181791,-91.7727205816914,222.71342226586,-130.629008360355,188.8531476001,1.14826575568283,16.1166327663002,215.010356610742,-0.870878535784023,96,0.0146472350542859,0.00922192196774788,0.0189949361673231,3.923125,10.4441875,0.00977301419957522
2022-05-18,264.054050139932,-76.6556674450132,208.124016521089,-114.184565148917,187.398382694919,1.01775965974383,27.1193629829469,220.564163195182,-0.982550242020495,96,0.0229454946516133,0.0149663228582707,0.0359064104789016,4.62375,9.15917708333333,0.0209400876206309
2022-05-17,263.091681553268,-74.391931531538,195.479601834495,-115.51496194782,188.69975002173,1.41631075345368,32.1411051513144,256.413297452354,-0.706059738345906,96,0.0300101854285455,0.020543688856837,0.0440118252198004,4.85958333333333,8.16984375,0.0234681363629634
2022-05-16,287.355099313686,-66.3533599136559,213.113676095606,-119.814582382342,221.00173940003,1.63936964217721,59.5352567253216,336.50157356781,-0.609990556292064,96,0.0308887425037774,0.00687157405801764,0.0545848030259167,5.10333333333333,8.19175,0.0477132289678991
2022-05-15,378.980717744801,-98.4146841522669,314.020554642713,-134.631520625717,280.566033592534,1.68009612470544,38.3853939818638,234.054535950499,-0.595204039397046,96,0.0092178225039173,0.00699285779549654,0.0124968139808732,3.99541666666667,8.62898958333333,0.00550395618537666
2022-05-07,464.356544724842,-185.771443376807,442.880876041982,-210.877601456342,278.585101348035,1.10803618318278,70.9571397783414,118.692515412686,-0.902497603577842,96,0.00408187165878893,0.00362035520454953,0.00442836096230251,1.06770833333333,9.48088541666667,0.00080800575775298
2022-05-06,425.813679259116,-119.641487114247,387.87627314907,-144.343423245446,306.172192144869,1.53527600023922,32.5811364559294,122.552079518703,-0.651348682480665,96,0.00520232431684978,0.00405320178274134,0.00707481953131784,3.36208333333333,8.42140625,0.0030216177485765
2022-04-25,348.196075156961,-155.519961804109,305.387355898874,-210.621898022266,192.676113352852,1.08269268533851,103.582490961264,132.037244610693,0.923623123663521,96,0.00515155514514376,0.00451828354543186,0.00618845378328293,2.09614583333333,8.99746875,0.00167017023785107
2022-04-24,314.048313770835,-91.4001282999704,266.230642311935,-123.186859461934,222.648185470864,0.960338720145156,33.1802703039803,169.781039411991,-1.04129926141981,96,0.00717692663279891,0.00509001490434321,0.0107426591763081,4.20989583333333,8.68229166666667,0.00565264427196489
2022-04-23,309.30225621068,-94.8583375668456,234.731959121213,-133.297259868187,214.443918643834,1.37395489156508,28.0143642332156,240.553298858909,-0.72782593237897,96,0.00879035933731195,0.00567640961040913,0.0148805964326615,4.14885416666667,8.32857291666667,0.00920418682225237
2022-04-22,299.614727254127,-90.7452687234748,253.22098285585,-122.77086832795,208.869458530652,1.14160008963133,16.1844114196556,186.626446161728,-0.8759634911407,96,0.00986315181976409,0.00675379776182119,0.0132551288405721,4.19135416666667,8.90510416666667,0.00650133107875091
2022-04-21,267.027854831114,-70.2507591586759,207.301644674908,-107.646424667877,196.777095672438,1.07076888080979,32.6197669087604,240.018160712945,-0.933908351206217,96,0.0254445127448776,0.0123521508129457,0.0433379535638991,4.91708333333333,8.60179166666667,0.0309858027509534
2022-04-20,318.037469291306,-84.0088931883854,250.717052565146,-120.264874430523,234.028576102921,1.93533238114044,66.2381060426661,221.827990660512,-0.516707109199881,96,0.0183236523975883,0.00841225307686803,0.0448007593604542,4.51666666666667,8.2790625,0.0363885062835862
2022-04-19,376.128558888387,-126.150404348914,312.611929008288,-218.955139693672,249.978154539473,0.884116028486027,68.3639663454605,269.683502609724,-1.13107326163107,94,0.00528608446091913,0.00365515963409917,0.0113483444470716,2.94755319148936,9.54178125,0.00769318481297243
2022-04-17,404.657687285029,-170.866282516889,377.233005134116,-223.926846933532,233.79140476814,0.216526960253285,64.0388057367956,148.954701223767,-4.61836253014516,96,0.00421381116331209,0.00346360675964685,0.00495917657728529,1.6634375,8.67071875,0.00149556981763844
2022-04-16,341.3653606444,-110.922653022347,318.589913358207,-128.261469378204,230.442707622053,1.01278623547621,54.0333344366979,80.9225197526774,-0.98737518833854,96,0.00528293587190157,0.00436478353400588,0.00577723851522156,3.64989583333333,8.3104375,0.00141245498121568
2022-04-15,332.38661479042,-103.454832006371,292.778640671816,-128.575085972787,228.931782784049,1.57037460252918,20.6534805963325,160.848898261631,-0.636790736674828,96,0.00732528198353331,0.00551981958065603,0.00855865237914602,4.02458333333333,7.49979166666667,0.00303883279848999
2022-04-14,343.180871342306,-105.347170542566,297.337398897582,-130.16222694352,237.83370079974,1.91900828739415,54.3752521324065,166.618519608904,-0.521102491619728,96,0.00760672570488936,0.00697250560039551,0.00834438847026436,3.9721875,7.43944791666667,0.00137188286986885
2022-04-13,382.969098559481,-109.062820935133,314.488659963032,-160.210204370576,273.906277624348,1.50316036923389,25.040608909156,284.221154029156,-0.665265011283971,96,0.00733783060256389,0.00632052994226947,0.00887677113208106,3.80697916666667,7.67446875,0.00255624118981159
2022-03-27,554.974749670262,-189.915462011539,520.139602718122,-203.037445928301,365.059287658723,2.40808246650489,21.6897575719064,119.303508208689,-0.415268170384301,96,NA,Inf,-Inf,1.20229166666667,7.79745833333333,-Inf
2022-03-17,499.275293428157,-209.612373451636,453.376239409107,-228.429475002135,289.662919976521,1.98829479955884,11.3397521049242,126.429655749627,-0.502943527399397,96,NA,Inf,-Inf,0.550208333333333,7.94096875,-Inf
2021-09-27,530.31246060094,-204.54775046774,490.331280312234,-225.812261801701,325.7647101332,3.86480865016838,47.0553072386709,137.31732431314,-0.258745022203475,96,0.00557122646141431,0.00505974181368606,0.00648431978671594,0.873958333333333,7.20842013888889,0.00142457797302988
2021-09-26,458.916157281963,-177.620850079679,436.582557622429,-197.779425187058,281.295307202285,0.337365097960738,54.2515543277375,80.7493867414767,2.96414776171179,96,0.00600098333129104,0.00541821912065229,0.00661542803934731,1.89989583333333,6.27423611111111,0.00119720891869502
2021-09-25,425.104443753925,-181.290755191664,407.216487347119,-197.8238734725,243.813688562261,0.669356660278476,36.7649812852593,65.8212175468862,-1.49397183794954,96,0.00652272729173523,0.00592958853074344,0.00710453056573777,1.8259375,6.04136574074074,0.00117494203499433
2021-09-24,413.703124643757,-141.981587164732,381.737079470047,-177.89120431449,271.721537479025,0.950559647327119,37.9749090969405,99.1301775197046,-1.05201183619766,96,0.00698420988234962,0.00614825112316001,0.0080026248852838,3.0075,6.40509259259259,0.00185437376212379
2021-09-23,362.22772829429,-106.970927264657,334.715488113642,-126.231147900678,255.256801029632,1.40301372826139,19.02839215372,107.754358660029,-0.712751400686004,96,0.00997580912372741,0.0077870821434917,0.0116519271053201,4.08375,6.58808449074074,0.0038648449618284
2021-09-20,592.986601431907,-222.675808736795,557.135321996469,-231.568251732688,370.310792695112,4.64733520723325,19.8506520902813,92.2343901304827,-0.215177075766682,90,0.00526850959024826,0.00480583817470869,0.00560515329234413,0.267333333333333,7.22063657407407,0.00079931511763544
2021-09-19,513.68532065214,-206.073292849395,475.790578736296,-221.967005218879,307.612027802746,10.4862683306283,38.379891752675,108.87791047497,-0.0953628086246088,96,0.00591125786542754,0.00525646716546945,0.00680986351334682,0.729270833333333,7.6239525462963,0.00155339634787737
2021-09-18,433.070634545145,-178.850150498034,399.521849634618,-197.442819973045,254.220484047111,3.48028652362872,46.2038109415697,105.7889176523,-0.287332664483426,96,0.00654904422060286,0.00577971616049325,0.00743010789748424,1.7203125,6.98302083333333,0.00165039173699099
2021-09-17,354.640632537901,-134.906720463449,337.333316055208,-173.556093884156,219.733912074452,6.95385352855082,50.3299742143452,83.9938021491594,-0.143805157226025,96,0.00828037094742841,0.00696079653253763,0.00958564702521748,3.22229166666667,6.52753472222222,0.00262485049267985
2021-09-16,358.695136133538,-139.692740849345,324.184190106047,-180.438133470947,219.002395284193,1.28011317095986,46.1470151574653,171.928926132726,-0.781180932034451,96,0.00846704149966968,0.00700925194875213,0.00995915070280958,3.04041666666667,6.63240162037037,0.00294989875405745
2021-09-15,362.139617635808,-135.179180352902,337.031502183414,-179.063338077463,226.960437282906,1.38149895921423,55.891315293834,107.257628944315,-0.723851432047969,96,0.00857263990301564,0.0069457759069924,0.0100169027416875,3.05072916666667,7.35568287037037,0.0030711268346951
2021-09-14,289.587001876188,-104.150340196806,264.874499478206,-141.114914500264,185.436661679382,1.79806668229629,62.3721029506245,95.0656062907052,-0.556152900137671,96,0.0132752604547198,0.00911931951986966,0.0169646164209638,4.075625,7.30515046296296,0.00784529690109414
2021-09-13,257.926193860497,-89.1882804230507,214.013608145244,-131.037796704292,168.737913437446,1.44866985478962,40.7333842869038,144.066564954312,-0.690288402629335,96,0.0197844269347788,0.0166024899356597,0.0227138830950639,4.575,7.10610532407407,0.0061113931594042
2021-09-12,295.750831947846,-94.4786605179967,237.006842677218,-124.236043201704,201.27217142985,1.66633872011476,26.4572442895405,208.852012633982,-0.600118083993831,96,0.0151758666640284,0.0106138202316944,0.0211104095479712,4.19697916666667,8.22520833333333,0.0104965893162768
2021-09-11,331.741448815841,-138.55301413063,282.255367551676,-197.166893259278,193.188434685211,0.858562396832917,36.9399035224838,214.410318557329,-1.16473771002413,96,0.0113279305827184,0.00904396742574422,0.0143263884171153,2.7153125,8.60314236111111,0.00528242099137108
2021-09-10,306.169727177738,-112.578887113778,274.436957689644,-170.364718826311,193.590840063959,0.720246282777275,40.1054858725207,152.990843655063,-1.38841396882188,96,0.0134819031023219,0.0101667085663729,0.0160327770893365,3.52104166666667,8.75438657407407,0.0058660685229636
2021-09-09,260.579246438226,-102.474617371558,213.13992740125,-160.198962325728,158.104629066669,1.00448879188633,33.1779223788835,168.898164251,-0.995531267324646,96,0.0197780364449526,0.0151260618534561,0.0229420968616853,3.79270833333333,9.12498842592593,0.0078160350082292
2021-09-08,238.233862865653,-81.2517941872317,192.768278938989,-114.25526032614,156.982068678421,1.09040547209126,19.6862067659545,174.246237948592,-0.917090041819147,96,0.0236785913040507,0.0211897084147142,0.026505216285568,4.58177083333333,8.45106481481482,0.0053155078708538
2021-09-07,222.686815313037,-67.1427589903071,163.360705978625,-93.2687848853896,155.544056322729,1.71347035255917,53.722149569695,173.503293599977,-0.583610914835171,96,0.0268155147729684,0.0201637375284859,0.0356024768803108,5.31354166666667,7.04331018518519,0.0154387393518249
2021-09-06,271.079180198922,-84.6907794722935,166.989721853867,-214.137671653609,186.388400726629,1.81833860224156,65.476718357926,569.526694108195,-0.549952576911279,96,0.0363575966137038,0.00513898174069365,0.0875482706890678,5.23583333333333,4.47944444444444,0.0824092889483742
2021-09-05,531.960407257127,-197.327760891655,491.528830702068,-210.049482388722,334.632646365472,4.27743188065367,36.2626522396789,106.415500944965,-0.233785137414551,96,0.00529096144350158,0.00496909844230146,0.00572709590676847,1.086875,7.1670775462963,0.00075799746446701
2021-09-04,476.544382586628,-186.776278056003,454.319609033199,-205.884614494269,289.768104530626,0.56856490539825,38.4294737104083,94.1253715735402,-1.75881414857914,96,0.00593526369595803,0.00533748917688099,0.00691712527156886,1.35510416666667,7.54538194444444,0.00157963609468787
2021-09-03,472.884572778685,-183.61017311109,428.52973510716,-204.857704087148,289.274399667595,1.71325840349052,62.2336313122555,128.641628022208,-0.58368311397898,96,0.00609123724437191,0.00548122802042762,0.00692537947754004,1.39041666666667,7.95505208333333,0.00144415145711242
2021-09-02,413.911870238148,-135.759532911378,338.779313561729,-236.549664713107,278.15233732677,1.55916384340637,54.6845240462029,435.356447522339,-0.641369413630872,89,0.00791203734501585,0.00466074659524616,0.0104751359238646,2.90561797752809,8.01833912037037,0.00581438932861844
2021-08-30,447.370675682645,-210.289814974665,421.571597321402,-224.007440157381,237.08086070798,2.31191706421071,32.9672888868903,72.7464593193639,-0.432541467633227,96,0.00590535283736868,0.00520948906113354,0.00664200260586145,0.698020833333333,7.0424537037037,0.00143251354472791
2021-08-29,432.255470984725,-182.956766615116,401.974053313149,-212.117478692953,249.298704369609,0.565342787574811,34.5824817473322,124.349823526043,-1.76883834370607,96,0.0059705841455012,0.00536540924581124,0.00715392203214644,1.65541666666667,6.63553819444444,0.0017885127863352
2021-08-28,384.788153811688,-120.659408497173,349.346167482941,-144.939058686874,264.128745314515,1.7970195638865,34.469853756349,156.883961359066,-0.556476968919165,96,0.0074531861415917,0.00610945154018404,0.00872189864753811,3.6896875,6.39972800925926,0.00261244710735407
2021-08-27,471.324951871877,-191.710420252069,397.949285976875,-233.402932203441,279.614531619808,1.28596222836476,57.9617296273074,311.960950794447,-0.777627816698479,96,0.00634271388176698,0.00488460013736793,0.0080049431562865,1.36510416666667,6.61960069444445,0.00312034301891857
2021-08-25,515.262063612368,-203.851027911495,485.610043002143,-220.843197357671,311.411035700872,1.67115880625725,28.2515011875948,93.3974732250469,-0.598387176763658,96,0.00537873595618013,0.0048420893820371,0.00577922830422652,0.663958333333333,8.29659722222222,0.00093713892218942
2021-08-24,420.955976997536,-138.471201163554,382.018172762217,-171.1156677308,282.484775833982,3.8188210376714,48.2600033886185,143.447690225269,-0.261860922555766,96,0.00627011698930185,0.00545362689485982,0.00713329421408347,2.86708333333333,7.68018518518518,0.00167966731922365
2021-08-23,379.10823480539,-127.149124762664,356.218180973107,-143.04706481404,251.959110042727,1.72573790227947,20.2871826359933,76.0507448611973,-0.579462268678883,96,0.00714635675225085,0.00614824869402687,0.00853378426364536,3.32239583333333,7.16431712962963,0.00238553556961849
2021-08-20,379.670808511777,-144.24412334799,339.835731977199,-204.723872114124,235.426685163786,1.11053704058974,32.0677518734485,174.790316468457,-0.900465237493529,96,0.00687180978946521,0.00587246263128404,0.00775290856454544,2.6646875,7.88290509259259,0.0018804459332614
