Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,S02590
ID Dispositivo:,,Stn3
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
10/21/2022,10:09:00 AM,511
10/21/2022,10:24:00 AM,516
10/21/2022,10:39:00 AM,526
10/21/2022,10:54:00 AM,526
10/21/2022,11:09:00 AM,526
10/21/2022,11:24:00 AM,496
10/21/2022,11:39:00 AM,501
10/21/2022,11:54:00 AM,506
10/21/2022,12:09:00 PM,501
10/21/2022,12:24:00 PM,526
10/21/2022,12:39:00 PM,526
10/21/2022,12:54:00 PM,531
10/21/2022,1:09:00 PM,516
10/21/2022,1:24:00 PM,516
10/21/2022,1:39:00 PM,536
10/21/2022,1:54:00 PM,526
10/21/2022,2:09:00 PM,546
10/21/2022,2:24:00 PM,526
10/21/2022,2:39:00 PM,516
10/21/2022,2:54:00 PM,531
10/21/2022,3:09:00 PM,531
10/21/2022,3:24:00 PM,531
10/21/2022,3:39:00 PM,526
10/21/2022,3:54:00 PM,516
10/21/2022,4:09:00 PM,536
10/21/2022,4:24:00 PM,546
10/21/2022,4:39:00 PM,546
10/21/2022,4:54:00 PM,521
10/21/2022,5:09:00 PM,536
10/21/2022,5:24:00 PM,531
10/21/2022,5:39:00 PM,541
10/21/2022,5:54:00 PM,526
10/21/2022,6:09:00 PM,556
10/21/2022,6:24:00 PM,536
10/21/2022,6:39:00 PM,536
10/21/2022,6:54:00 PM,541
10/21/2022,7:09:00 PM,561
10/21/2022,7:24:00 PM,551
10/21/2022,7:39:00 PM,536
10/21/2022,7:54:00 PM,556
10/21/2022,8:09:00 PM,566
10/21/2022,8:24:00 PM,541
10/21/2022,8:39:00 PM,556
10/21/2022,8:54:00 PM,581
10/21/2022,9:09:00 PM,546
10/21/2022,9:24:00 PM,551
10/21/2022,9:39:00 PM,576
10/21/2022,9:54:00 PM,561
10/21/2022,10:09:00 PM,551
10/21/2022,10:24:00 PM,571
10/21/2022,10:39:00 PM,571
10/21/2022,10:54:00 PM,561
10/21/2022,11:09:00 PM,591
10/21/2022,11:24:00 PM,566
10/21/2022,11:39:00 PM,561
10/21/2022,11:54:00 PM,581
10/22/2022,12:09:00 AM,551
10/22/2022,12:24:00 AM,586
10/22/2022,12:39:00 AM,566
10/22/2022,12:54:00 AM,591
10/22/2022,1:09:00 AM,581
10/22/2022,1:24:00 AM,571
10/22/2022,1:39:00 AM,606
10/22/2022,1:54:00 AM,581
10/22/2022,2:09:00 AM,591
10/22/2022,2:24:00 AM,571
10/22/2022,2:39:00 AM,571
10/22/2022,2:54:00 AM,601
10/22/2022,3:09:00 AM,586
10/22/2022,3:24:00 AM,571
10/22/2022,3:39:00 AM,586
10/22/2022,3:54:00 AM,586
10/22/2022,4:09:00 AM,611
10/22/2022,4:24:00 AM,591
10/22/2022,4:39:00 AM,586
10/22/2022,4:54:00 AM,596
10/22/2022,5:09:00 AM,616
10/22/2022,5:24:00 AM,586
10/22/2022,5:39:00 AM,606
10/22/2022,5:54:00 AM,591
10/22/2022,6:09:00 AM,591
10/22/2022,6:24:00 AM,616
10/22/2022,6:39:00 AM,601
10/22/2022,6:54:00 AM,591
10/22/2022,7:09:00 AM,591
10/22/2022,7:24:00 AM,606
10/22/2022,7:39:00 AM,601
10/22/2022,7:54:00 AM,586
10/22/2022,8:09:00 AM,616
10/22/2022,8:24:00 AM,591
10/22/2022,8:39:00 AM,616
10/22/2022,8:54:00 AM,591
10/22/2022,9:09:00 AM,596
10/22/2022,9:24:00 AM,596
10/22/2022,9:39:00 AM,596
10/22/2022,9:54:00 AM,586
10/22/2022,10:09:00 AM,606
10/22/2022,10:24:00 AM,596
10/22/2022,10:39:00 AM,586
10/22/2022,10:54:00 AM,586
10/22/2022,11:09:00 AM,591
10/22/2022,11:24:00 AM,591
10/22/2022,11:39:00 AM,581
10/22/2022,11:54:00 AM,581
10/22/2022,12:09:00 PM,566
10/22/2022,12:24:00 PM,586
10/22/2022,12:39:00 PM,576
10/22/2022,12:54:00 PM,606
10/22/2022,1:09:00 PM,591
10/22/2022,1:24:00 PM,591
10/22/2022,1:39:00 PM,591
10/22/2022,1:54:00 PM,596
10/22/2022,2:09:00 PM,576
10/22/2022,2:24:00 PM,591
10/22/2022,2:39:00 PM,586
10/22/2022,2:54:00 PM,591
10/22/2022,3:09:00 PM,576
10/22/2022,3:24:00 PM,591
10/22/2022,3:39:00 PM,586
10/22/2022,3:54:00 PM,591
10/22/2022,4:09:00 PM,601
10/22/2022,4:24:00 PM,596
10/22/2022,4:39:00 PM,581
10/22/2022,4:54:00 PM,611
10/22/2022,5:09:00 PM,601
10/22/2022,5:24:00 PM,591
10/22/2022,5:39:00 PM,591
