Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,R39140
ID Dispositivo:,,Stn01 well
,,
,,Canal 1
Date,Time,Voltaje (ppm)
11/30/2022,10:27:47 PM,14642.1
11/30/2022,10:42:47 PM,14604.5
11/30/2022,10:57:47 PM,14607.5
11/30/2022,11:12:47 PM,14658.7
11/30/2022,11:27:47 PM,14643.6
11/30/2022,11:42:47 PM,14612.1
11/30/2022,11:57:47 PM,14664.7
12/1/2022,12:12:47 AM,14694.7
12/1/2022,12:27:47 AM,14672.2
12/1/2022,12:42:47 AM,14672.2
12/1/2022,12:57:47 AM,14679.7
12/1/2022,1:12:47 AM,14678.2
12/1/2022,1:27:47 AM,14700.8
12/1/2022,1:42:47 AM,14694.7
12/1/2022,1:57:47 AM,14717.3
12/1/2022,2:12:47 AM,14715.8
12/1/2022,2:27:47 AM,14754.9
12/1/2022,2:42:47 AM,14748.9
12/1/2022,2:57:47 AM,14816.5
12/1/2022,3:12:47 AM,14870.6
12/1/2022,3:27:47 AM,14848.1
12/1/2022,3:42:47 AM,14855.6
12/1/2022,3:57:47 AM,14923.3
12/1/2022,4:12:47 AM,14888.7
12/1/2022,4:27:47 AM,14875.2
12/1/2022,4:42:47 AM,14942.8
12/1/2022,4:57:47 AM,14953.3
12/1/2022,5:12:47 AM,14966.9
12/1/2022,5:27:47 AM,14996.9
12/1/2022,5:42:47 AM,14972.9
12/1/2022,5:57:47 AM,14983.4
12/1/2022,6:12:47 AM,15079.6
12/1/2022,6:27:47 AM,15087.1
12/1/2022,6:42:47 AM,15138.3
12/1/2022,6:57:47 AM,15252.5
12/1/2022,7:12:47 AM,15303.6
12/1/2022,7:27:47 AM,15321.7
12/1/2022,7:42:47 AM,15381.8
12/1/2022,7:57:47 AM,15439
12/1/2022,8:12:47 AM,15505.1
12/1/2022,8:27:47 AM,15670.5
12/1/2022,8:42:47 AM,15688.5
12/1/2022,8:57:47 AM,15780.2
12/1/2022,9:12:47 AM,15862.9
12/1/2022,9:27:47 AM,16008.8
12/1/2022,9:42:47 AM,16059.9
12/1/2022,9:57:47 AM,16133.5
12/1/2022,10:12:47 AM,16232.8
12/1/2022,10:27:47 AM,16283.9
12/1/2022,10:42:47 AM,16407.2
12/1/2022,10:57:47 AM,16371.1
12/1/2022,11:12:47 AM,16452.3
12/1/2022,11:27:47 AM,16542.5
12/1/2022,11:42:47 AM,16527.5
12/1/2022,11:57:47 AM,16598.1
12/1/2022,12:12:47 PM,16683.8
12/1/2022,12:27:47 PM,16707.9
12/1/2022,12:42:47 PM,16747
