Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,R21333
ID Dispositivo:,,Stn2
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
12/1/2022,9:26:23 PM,1015.8
12/1/2022,9:41:23 PM,1089.5
12/1/2022,9:56:23 PM,963.1
12/1/2022,10:11:23 PM,1006.7
12/1/2022,10:26:23 PM,1076
12/1/2022,10:41:23 PM,1054.9
12/1/2022,10:56:23 PM,957.1
12/1/2022,11:11:23 PM,954.1
12/1/2022,11:26:23 PM,970.6
12/1/2022,11:41:23 PM,934.5
12/1/2022,11:56:23 PM,916.5
12/2/2022,12:11:23 AM,1012.8
12/2/2022,12:26:23 AM,925.5
12/2/2022,12:41:23 AM,957.1
12/2/2022,12:56:23 AM,943.5
12/2/2022,1:11:23 AM,905.9
12/2/2022,1:26:23 AM,901.4
12/2/2022,1:41:23 AM,985.7
12/2/2022,1:56:23 AM,902.9
12/2/2022,2:11:23 AM,901.4
12/2/2022,2:26:23 AM,866.8
12/2/2022,2:41:23 AM,911.9
12/2/2022,2:56:23 AM,860.8
12/2/2022,3:11:23 AM,899.9
12/2/2022,3:26:23 AM,898.4
12/2/2022,3:41:23 AM,871.3
12/2/2022,3:56:23 AM,892.4
12/2/2022,4:11:23 AM,898.4
12/2/2022,4:26:23 AM,866.8
12/2/2022,4:41:23 AM,842.7
12/2/2022,4:56:23 AM,850.2
12/2/2022,5:11:23 AM,883.3
12/2/2022,5:26:23 AM,887.9
12/2/2022,5:41:23 AM,865.3
12/2/2022,5:56:23 AM,856.3
12/2/2022,6:11:23 AM,874.3
12/2/2022,6:26:23 AM,814.1
12/2/2022,6:41:23 AM,869.8
12/2/2022,6:56:23 AM,806.6
12/2/2022,7:11:23 AM,850.2
12/2/2022,7:26:23 AM,826.2
12/2/2022,7:41:23 AM,808.1
12/2/2022,7:56:23 AM,811.1
12/2/2022,8:11:23 AM,790
12/2/2022,8:26:23 AM,830.7
12/2/2022,8:41:23 AM,830.7
12/2/2022,8:56:23 AM,818.6
12/2/2022,9:11:23 AM,776.5
12/2/2022,9:26:23 AM,799.1
12/2/2022,9:41:23 AM,778
12/2/2022,9:56:23 AM,800.6
12/2/2022,10:11:23 AM,809.6
12/2/2022,10:26:23 AM,775
12/2/2022,10:41:23 AM,818.6
12/2/2022,10:56:23 AM,824.7
12/2/2022,11:11:23 AM,820.1
12/2/2022,11:26:23 AM,808.1
12/2/2022,11:41:23 AM,773.5
12/2/2022,11:56:23 AM,794.6
12/2/2022,12:11:23 PM,781
12/2/2022,12:26:23 PM,817.1
12/2/2022,12:41:23 PM,793.1
12/2/2022,12:56:23 PM,775
12/2/2022,1:11:23 PM,803.6
12/2/2022,1:26:23 PM,787
12/2/2022,1:41:23 PM,806.6
12/2/2022,1:56:23 PM,776.5
12/2/2022,2:11:23 PM,781
12/2/2022,2:26:23 PM,796.1
12/2/2022,2:41:23 PM,796.1
12/2/2022,2:56:23 PM,809.6
12/2/2022,3:11:23 PM,779.5
12/2/2022,3:26:23 PM,808.1
12/2/2022,3:41:23 PM,750.9
12/2/2022,3:56:23 PM,744.9
12/2/2022,4:11:23 PM,788.5
12/2/2022,4:26:23 PM,747.9
12/2/2022,4:41:23 PM,775
12/2/2022,4:56:23 PM,802.1
12/2/2022,5:11:23 PM,767.5
12/2/2022,5:26:23 PM,738.9
12/2/2022,5:41:23 PM,756.9
12/2/2022,5:56:23 PM,773.5
12/2/2022,6:11:23 PM,750.9
12/2/2022,6:26:23 PM,767.5
12/2/2022,6:41:23 PM,698.2
12/2/2022,6:56:23 PM,749.4
12/2/2022,7:11:23 PM,698.2
12/2/2022,7:26:23 PM,764.5
12/2/2022,7:41:23 PM,749.4
12/2/2022,7:56:23 PM,705.8
12/2/2022,8:11:23 PM,778
12/2/2022,8:26:23 PM,753.9
12/2/2022,8:41:23 PM,692.2
12/2/2022,8:56:23 PM,766
12/2/2022,9:11:23 PM,732.9
12/2/2022,9:26:23 PM,666.6
12/2/2022,9:41:23 PM,750.9
12/2/2022,9:56:23 PM,738.9
12/2/2022,10:11:23 PM,696.7
12/2/2022,10:26:23 PM,714.8
12/2/2022,10:41:23 PM,725.3
12/2/2022,10:56:23 PM,689.2
12/2/2022,11:11:23 PM,683.2
12/2/2022,11:26:23 PM,746.4
12/2/2022,11:41:23 PM,651.6
12/2/2022,11:56:23 PM,660.6
12/3/2022,12:11:23 AM,705.8
12/3/2022,12:26:23 AM,641.1
12/3/2022,12:41:23 AM,773.5
12/3/2022,12:56:23 AM,725.3
12/3/2022,1:11:23 AM,699.8
12/3/2022,1:26:23 AM,756.9
12/3/2022,1:41:23 AM,707.3
12/3/2022,1:56:23 AM,728.3
12/3/2022,2:11:23 AM,725.3
12/3/2022,2:26:23 AM,702.8
12/3/2022,2:41:23 AM,641.1
12/3/2022,2:56:23 AM,672.7
12/3/2022,3:11:23 AM,660.6
12/3/2022,3:26:23 AM,657.6
12/3/2022,3:41:23 AM,746.4
12/3/2022,3:56:23 AM,617
12/3/2022,4:11:23 AM,609.5
12/3/2022,4:26:23 AM,756.9
12/3/2022,4:41:23 AM,601.9
12/3/2022,4:56:23 AM,690.7
12/3/2022,5:11:23 AM,601.9
12/3/2022,5:26:23 AM,630.5
12/3/2022,5:41:23 AM,749.4
12/3/2022,5:56:23 AM,558.3
12/3/2022,6:11:23 AM,642.6
12/3/2022,6:26:23 AM,541.7
12/3/2022,6:41:23 AM,759.9
12/3/2022,6:56:23 AM,711.8
12/3/2022,7:11:23 AM,746.4
12/3/2022,7:26:23 AM,636.6
12/3/2022,7:41:23 AM,734.4
