Station,DateTime,Total_hpa,WLTemp_01_c,CO2_ppm,CO2_ppm_adjusted,max_detect_ppm
Stn04,2021-06-11 12:15:00,626.5167,8.282,1192,1329.668941,10000
Stn04,2021-06-11 12:30:00,626.3967,8.282,1187,1324.306144,10000
Stn04,2021-06-11 12:45:00,626.4167,8.382,1192,1330.245659,10000
Stn04,2021-06-11 13:00:00,626.2967,8.382,1207,1347.203684,10000
Stn04,2021-06-11 13:15:00,626.2967,8.382,1217,1358.365272,10000
Stn04,2021-06-11 13:30:00,626.3167,8.481,1212,1353.147684,10000
Stn04,2021-06-11 13:45:00,626.1967,8.481,1202,1342.200615,10000
Stn04,2021-06-11 14:00:00,625.9767,8.581,1202,1343.000033,10000
Stn04,2021-06-11 14:15:00,625.7567,8.68,1222,1366.155011,10000
Stn04,2021-06-11 14:30:00,625.7767,8.779,1202,1344.156148,10000
Stn04,2021-06-11 14:45:00,625.6767,8.879,1217,1361.519635,10000
Stn04,2021-06-11 15:00:00,625.5867,8.978,1207,1350.89463,10000
Stn04,2021-06-11 15:15:00,625.4867,9.077,1232,1379.467913,10000
Stn04,2021-06-11 15:30:00,625.1367,9.176,1222,1369.320748,10000
Stn04,2021-06-11 15:45:00,625.2667,9.176,1222,1369.080688,10000
Stn04,2021-06-11 16:00:00,625.4867,9.077,1227,1373.869423,10000
Stn04,2021-06-11 16:15:00,625.3367,8.978,1237,1384.938178,10000
Stn04,2021-06-11 16:30:00,625.4167,8.779,1212,1355.997373,10000
Stn04,2021-06-11 16:45:00,625.2667,8.68,1222,1367.058517,10000
Stn04,2021-06-11 17:00:00,625.2367,8.581,1212,1355.52599,10000
Stn04,2021-06-11 17:15:00,625.4667,8.481,1217,1360.289942,10000
Stn04,2021-06-11 17:30:00,625.5567,8.382,1237,1382.068447,10000
Stn04,2021-06-11 17:45:00,625.4167,8.282,1217,1359.573873,10000
Stn04,2021-06-11 18:00:00,625.5167,8.182,1237,1381.317919,10000
Stn04,2021-06-11 18:15:00,625.4867,8.082,1237,1380.961254,10000
Stn04,2021-06-11 18:30:00,625.5867,7.983,1247,1391.525523,10000
Stn04,2021-06-11 18:45:00,625.8067,7.882,1227,1368.387927,10000
Stn04,2021-06-11 19:00:00,626.1767,7.882,1232,1373.277895,10000
Stn04,2021-06-11 19:15:00,626.2667,7.782,1227,1367.129483,10000
Stn04,2021-06-11 19:30:00,626.2667,7.782,1252,1394.984607,10000
Stn04,2021-06-11 19:45:00,626.6367,7.782,1237,1377.582769,10000
Stn04,2021-06-11 20:00:00,626.7367,7.682,1252,1393.682205,10000
Stn04,2021-06-11 20:15:00,626.7367,7.682,1242,1382.550558,10000
Stn04,2021-06-11 20:30:00,626.8567,7.682,1257,1399.021102,10000
Stn04,2021-06-11 20:45:00,626.9567,7.582,1242,1381.726067,10000
Stn04,2021-06-11 21:00:00,626.8367,7.582,1252,1393.077032,10000
Stn04,2021-06-11 21:15:00,627.1967,7.582,1262,1403.520562,10000
Stn04,2021-06-11 21:30:00,627.0567,7.481,1242,1381.121772,10000
Stn04,2021-06-11 21:45:00,627.0567,7.481,1242,1381.121772,10000
Stn04,2021-06-11 22:00:00,627.1767,7.481,1242,1380.897688,10000
Stn04,2021-06-11 22:15:00,627.1467,7.381,1242,1380.540392,10000
Stn04,2021-06-11 22:30:00,627.0267,7.381,1262,1402.99894,10000
Stn04,2021-06-11 22:45:00,627.2767,7.381,1272,1413.638231,10000
Stn04,2021-06-11 23:00:00,627.1467,7.381,1262,1402.771316,10000
Stn04,2021-06-11 23:15:00,627.1267,7.28,1242,1380.160265,10000
Stn04,2021-06-11 23:30:00,627.1267,7.28,1252,1391.272667,10000
Stn04,2021-06-11 23:45:00,626.8567,7.179,1252,1391.359632,10000
