"","DateTime","DO_mgL","DOTemp_c","Station"
"1",2021-06-10 16:30:00,6.92,9.98,"Stn04"
"2",2021-06-10 16:45:00,6.97,9.78,"Stn04"
"3",2021-06-10 17:00:00,7,9.6,"Stn04"
"4",2021-06-10 17:15:00,7.03,9.44,"Stn04"
"5",2021-06-10 17:30:00,7.09,9.16,"Stn04"
"6",2021-06-10 17:45:00,7.16,8.88,"Stn04"
"7",2021-06-10 18:00:00,7.21,8.62,"Stn04"
"8",2021-06-10 18:15:00,7.26,8.4,"Stn04"
"9",2021-06-10 18:30:00,7.29,8.26,"Stn04"
"10",2021-06-10 18:45:00,7.32,8.12,"Stn04"
"11",2021-06-10 19:00:00,7.35,7.98,"Stn04"
"12",2021-06-10 19:15:00,7.38,7.8,"Stn04"
"13",2021-06-10 19:30:00,7.42,7.66,"Stn04"
"14",2021-06-10 19:45:00,7.41,7.64,"Stn04"
"15",2021-06-10 20:00:00,7.41,7.6,"Stn04"
"16",2021-06-10 20:15:00,7.43,7.5,"Stn04"
"17",2021-06-10 20:30:00,7.45,7.44,"Stn04"
"18",2021-06-10 20:45:00,7.46,7.38,"Stn04"
"19",2021-06-10 21:00:00,7.47,7.32,"Stn04"
"20",2021-06-10 21:15:00,7.47,7.28,"Stn04"
"21",2021-06-10 21:30:00,7.47,7.26,"Stn04"
"22",2021-06-10 21:45:00,7.48,7.24,"Stn04"
"23",2021-06-10 22:00:00,7.48,7.22,"Stn04"
"24",2021-06-10 22:15:00,7.49,7.16,"Stn04"
"25",2021-06-10 22:30:00,7.5,7.12,"Stn04"
"26",2021-06-10 22:45:00,7.55,6.92,"Stn04"
"27",2021-06-10 23:00:00,7.58,6.74,"Stn04"
"28",2021-06-10 23:15:00,7.62,6.62,"Stn04"
"29",2021-06-10 23:30:00,7.63,6.56,"Stn04"
"30",2021-06-10 23:45:00,7.64,6.5,"Stn04"
"31",2021-06-11,7.65,6.44,"Stn04"
"32",2021-06-11 00:15:00,7.7,6.24,"Stn04"
"33",2021-06-11 00:30:00,7.79,5.96,"Stn04"
"34",2021-06-11 00:45:00,7.83,5.74,"Stn04"
"35",2021-06-11 01:00:00,7.84,5.7,"Stn04"
"36",2021-06-11 01:15:00,7.82,5.72,"Stn04"
"37",2021-06-11 01:30:00,7.81,5.74,"Stn04"
"38",2021-06-11 01:45:00,7.79,5.8,"Stn04"
"39",2021-06-11 02:00:00,7.79,5.78,"Stn04"
"40",2021-06-11 02:15:00,7.81,5.7,"Stn04"
"41",2021-06-11 02:30:00,7.81,5.68,"Stn04"
"42",2021-06-11 02:45:00,7.81,5.68,"Stn04"
"43",2021-06-11 03:00:00,7.82,5.62,"Stn04"
"44",2021-06-11 03:15:00,7.85,5.52,"Stn04"
