"Station","DateTime","Total_hpa","WLTemp_01_c","CO2_ppm","CO2_ppm_adjusted","max_detect_ppm"
"Stn02",2022-06-16 15:15:00,636.51,10.553,4070,8915.2129,10000
"Stn02",2022-06-16 15:00:00,636.65,10.651,4065,8902.55325,10000
"Stn02",2022-06-16 14:45:00,637.11,10.651,4055,8875.05685,10000
"Stn02",2022-06-16 14:30:00,637.11,10.651,4080,8929.7736,10000
"Stn02",2022-06-16 14:15:00,637.2,10.553,4040,8841.136,10000
"Stn02",2022-06-16 14:00:00,637.25,10.357,4045,8851.47125,10000
"Stn02",2022-06-16 13:45:00,637.19,10.161,4060,8885.0258,10000
"Stn02",2022-06-16 13:30:00,637.22,10.259,4014,8783.99676,10000
"Stn02",2022-06-16 13:15:00,637.48,10.357,4045,8848.6802,10000
"Stn02",2022-06-16 13:00:00,637.4,10.063,3999,8749.0122,10000
"Stn02",2022-06-16 12:45:00,637.42,9.768,3989,8726.89486,10000
"Stn02",2022-06-16 12:30:00,637.47,9.571,3999,8748.17241,10000
"Stn02",2022-06-16 12:15:00,637.76,9.373,3989,8722.82608,10000
"Stn02",2022-06-16 12:00:00,637.78,9.077,4014,8777.25324,10000
"Stn02",2022-06-16 11:45:00,637.57,8.779,4004,8757.90916,10000
"Stn02",2022-06-16 11:30:00,637.56,8.382,3984,8714.28288,10000
"Stn02",2022-06-16 11:15:00,637.43,7.983,3964,8672.08244,10000
"Stn02",2022-06-16 11:00:00,637.57,7.682,4004,8757.90916,10000
"Stn02",2022-06-16 10:45:00,637.16,7.481,3964,8675.29328,10000
"Stn02",2022-06-16 10:30:00,637.21,7.28,3989,8729.40793,10000
"Stn02",2022-06-16 10:15:00,636.94,7.179,3974,8699.80132,10000
"Stn02",2022-06-16 10:00:00,637.11,6.978,3974,8697.77458,10000
"Stn02",2022-06-16 09:45:00,636.96,6.877,3949,8644.83488,10000
"Stn02",2022-06-16 09:30:00,636.81,6.775,3994,8745.14258,10000
"Stn02",2022-06-16 09:15:00,636.69,6.775,4025,8814.46825,10000
"Stn02",2022-06-16 09:00:00,636.66,6.674,3984,8725.03968,10000
"Stn02",2022-06-16 08:45:00,636.55,6.674,3979,8715.40265,10000
"Stn02",2022-06-16 08:30:00,636.32,6.674,3984,8729.10336,10000
"Stn02",2022-06-16 08:15:00,636.32,6.674,4009,8783.87936,10000
"Stn02",2022-06-16 08:00:00,636.09,6.674,3979,8720.89367,10000
"Stn02",2022-06-16 07:45:00,635.97,6.674,3959,8678.48431,10000
"Stn02",2022-06-16 07:30:00,635.86,6.674,3994,8756.52548,10000
"Stn02",2022-06-16 07:15:00,635.86,6.674,3974,8712.67708,10000
"Stn02",2022-06-16 07:00:00,635.86,6.674,3999,8767.48758,10000
"Stn02",2022-06-16 06:45:00,635.97,6.674,3969,8700.40521,10000
"Stn02",2022-06-16 06:30:00,635.86,6.674,3989,8745.56338,10000
"Stn02",2022-06-16 06:15:00,635.74,6.674,3984,8736.03552,10000
"Stn02",2022-06-16 06:00:00,635.63,6.674,3954,8671.55694,10000
"Stn02",2022-06-16 05:45:00,635.63,6.674,3964,8693.48804,10000
"Stn02",2022-06-16 05:30:00,635.63,6.674,3949,8660.59139,10000
"Stn02",2022-06-16 05:15:00,635.51,6.674,3959,8683.94773,10000
"Stn02",2022-06-16 05:00:00,635.43,6.775,3949,8662.96079,10000
"Stn02",2022-06-16 04:45:00,635.55,6.775,3944,8650.5724,10000
"Stn02",2022-06-16 04:30:00,635.58,6.877,3919,8595.38594,10000
"Stn02",2022-06-16 04:15:00,635.81,6.877,3879,8504.97903,10000
"Stn02",2022-06-16 04:00:00,635.81,6.877,3889,8526.90473,10000
"Stn02",2022-06-16 03:45:00,635.84,6.978,3869,8482.70512,10000
"Stn02",2022-06-16 03:30:00,636.07,6.978,3884,8512.91236,10000
"Stn02",2022-06-16 03:15:00,635.96,6.978,3899,8547.07588,10000
"Stn02",2022-06-16 03:00:00,636.19,6.978,3884,8511.51412,10000
"Stn02",2022-06-16 02:45:00,636.34,7.079,3849,8433.08202,10000
"Stn02",2022-06-16 02:30:00,636.22,7.079,3844,8423.51096,10000
"Stn02",2022-06-16 02:15:00,636.6,7.179,3864,8462.9328,10000
"Stn02",2022-06-16 02:00:00,636.52,7.28,3819,8365.29036,10000
"Stn02",2022-06-16 01:45:00,636.78,7.381,3844,8417.05304,10000
"Stn02",2022-06-16 01:30:00,636.66,7.381,3799,8319.88598,10000
"Stn02",2022-06-16 01:15:00,636.93,7.481,3849,8426.26929,10000
"Stn02",2022-06-16 01:00:00,636.85,7.582,3784,8284.8788,10000
"Stn02",2022-06-16 00:45:00,636.85,7.582,3799,8317.72055,10000
"Stn02",2022-06-16 00:30:00,637.08,7.582,3814,8347.93064,10000
"Stn02",2022-06-16 00:15:00,637.34,7.682,3809,8334.01582,10000
NA,2022-06-16,NA,NA,3819,NA,10000
"Stn02",2022-06-15 23:45:00,637.25,7.782,3824,8367.868,10000
"Stn02",2022-06-15 23:30:00,637.25,7.782,3824,8367.868,10000
"Stn02",2022-06-15 23:15:00,637.06,7.882,3844,8413.82408,10000
"Stn02",2022-06-15 23:00:00,637.17,7.882,3854,8434.44046,10000
"Stn02",2022-06-15 22:45:00,637.17,7.882,3854,8434.44046,10000
